,store,address,phone
0,하나은행본관로비점,서울특별시 중구 을지로 35 하나은행본점 1F  ,02-592-8861
1,강남포스코센터점,서울 강남구 삼성로85길 11 생활편의시설동 B05호  ,02-541-7404
2,인천공항 T2랜드3F동편점,인천 중구 제2터미널대로 446 인천공항 제2여객터미널 랜드사이드 3층 동편 (GATE11~12번)  ,032-743-2894
3,캐리비안베이점,경기 용인시 처인구 포곡읍 에버랜드로 199 캐리비안베이 비치사이드카페 1층  ,031-336-9082
4,경복궁역3번출구점,서울특별시 종로구 자하문로 10  ,02-557-0510
5,의정부민락점,경기도 의정부시 민락동 805-3 해동2타워 제1층 104호~106호  ,031-853-3455
6,서현역점,경기도 성남시 서현동 246-4 1층  ,031-706-7952
7,마포경찰공제회점,"서울시 마포구 마포대로 78 (도화동 566), 경찰공제회 자람빌딩 1층  ",02-704-6591
8,신세계센텀시티점,부산광역시 해운대구 센텀남대로 35 신세계센텀시티 7층  ,051-745-1821
9,제주동문시장점,제주특별자치도 제주시 동문로 8-1  ,064-726-9520
10,대전시청역점,"대전광역시 서구 둔산동 1451, 둔산타워 제1층 제101호  ",042-484-8926
11,마곡케이스퀘어점,"서울특별시 강서구 마곡중앙로 105-7 (케이스퀘어) 마곡 TOWER 1, 1층 D-101호  ",02-3662-9805
12,원그로브점,"서울시 강서구 공항대로 165, 원그로브 쇼핑몰 2층 E215호  ",02-2653-8577
