rank,img_src,img_title,mx4d,dolby,atmos,mega_only,summary,score,title,booking_rate,release_date,like
1위,https://img.megabox.co.kr/SharedImg/2025/11/27/YiSbqEf6OvFcDoLoQCipDojOHqMCwKG4_420.jpg,주토피아 2,0,0,0,1,"더 화려해진 세계, 더 넓어진 주토피아!
디즈니의 가~~장 사랑스러운 콤비 '주디'와 '닉'이 돌아온다!
 
미스터리한 뱀 ‘게리’가 나타난 순간,
주토피아가 다시 흔들리기 시작했다!
 
혼란에 빠진 도시를 구하기 위해
환상의 콤비 ‘주디’ & ‘닉’이 잠입 수사에 나서고
상상 그 이상의 진실과 위협을 마주하게 되는데...!
 
11월, 초특급 추적 어드벤처가 펼쳐진다!",9.4점,주토피아 2,예매율 54.2%,개봉일 2025.11.26,1.7k
2위,https://img.megabox.co.kr/SharedImg/2025/10/31/DKYhkABpLAlpTChUcbPRDUqBX4r6e5BO_420.jpg,위키드: 포 굿,0,0,0,1,"“너로 인해 완전히 달라졌어, 내가”

전혀 다르지만 서로에게 가장 소중한 친구가 된
‘엘파바’(신시아 에리보)와 ‘글린다’(아리아나 그란데).
쉬즈에서의 마법같았던 둘의 우정은 오즈의 마법사와 그를 둘러싼 비밀들을 알게 되면서
다른 길을 선택할 수밖에 없게 내몰린다.

사람들의 시선을 더 이상 두려워하지 않게 된 사악한 마녀 ‘엘파바’와
사람들의 사랑을 받으면서도 모든 걸 잃을까 두려운 착한 마녀 ‘글린다’.

서로 대척점에 서게 된 두 사람은 거대한 여정의 끝에서
운명을 영원히 바꿀 선택을 마주하게 된다.",8.4점,위키드: 포 굿,예매율 7.1%,개봉일 2025.11.19,1.6k
3위,https://img.megabox.co.kr/SharedImg/2025/11/04/zRSHfdUWIaRvX73R2mpB6a5WHEyqilwA_420.jpg,극장판 주술회전: 시부야사변 X 사멸회유,0,0,0,1,"2018년 10월 31일
시부야 역 주변에 갑자기 ‘장막’이 내려지고, 다수의 일반인이 갇히게 된다.
그곳에 홀로 뛰어든 현대 최강의 주술사, 고죠 사토루.
그러나 그곳에는 고죠의 봉인을 꾀하는 주저사·주령들이 기다리고 있었다.

시부야에 집결하는 이타도리 유지를 비롯한 수많은 주술사들.
전례 없는 대규모 주술전 「시부야사변」이 시작된다—.
그리고 싸움은, 최악의 주술사 카모 노리토시가 꾸민 데스 게임 「사멸회유」로 이어진다.
「시부야사변」을 거쳐, 마굴로 변한 전국 10개의 결계(콜로니).

대혼란의 한가운데, 이타도리의 사형 집행인으로 특급 주술사 옷코츠 유타가 나타난다.
절망 속에서도 싸움을 계속하는 이타도리.
무정하게도 칼날을 겨누는 옷코츠.
가속해가는 저주의 혼돈.
같은 스승을 둔 이타도리와 옷코츠, 두 사람의 사투가 시작된다——.",0점,극장판 주술회전: 시부야사변 X 사멸회유,예매율 5.5%,개봉일 2025.12.03,1.2k
4위,https://img.megabox.co.kr/SharedImg/2025/11/10/QbA0Xu2pYIIskq4gziFxbiq6eL9N2i0w_420.jpg,정보원,0,0,0,1,"“나 오늘 거기 털고 옷 벗는다”

공들인 작전 실패로 강등당한 후
열정도, 의지도, 수사 감각도 모두 잃은 형사 오남혁.
이제 그가 바라는 것은 오로지 한탕과 은퇴뿐.

밀수 조직에 심어둔 정보원 조태봉을 이용해 인생 역전을 꿈꾸지만
의리도, 믿음도 없는 조태봉은 숨겨뒀던 돈을 챙겨 빠르게 손절을 하고,
뒤늦게 밀수 조직 사무실에 도착한 오남혁은 낯선 무리에게 납치를 당한다.

이 일로 얼떨결에 목숨이 걸린 범죄 사건에 휘말리게 된 오남혁과 조태봉은
각자의 목적을 위해 동상이몽 공조 수사를 시작하는데…",0점,정보원,예매율 5.5%,개봉일 2025.12.03,120
5위,https://img.megabox.co.kr/SharedImg/2025/11/07/nsOm6ZHz6sFsfDNiZXluV3aEw4ymvmHm_420.jpg,윗집 사람들,0,0,0,1,"세상의 부부들은 정말 밤마다 사랑을 나눌까?
너희도 솔직해지고 싶지 않아?

불같던 결혼 생활은 사라지고 무미건조한 일상만 남은 정아(공효진)와 현수(김동욱).
요즘 두 사람을 가장 괴롭히는 건, 매일 밤 지나치게 활기찬 소리를 내는
윗집 부부 김 선생(하정우)과 수경(이하늬)이다.
정아는 이사 공사 소음을 참아준 윗집 부부를 위해
예의상 저녁 식사 자리를 마련하고
그날 저녁, 식탁에 마주 앉은 윗집 부부는 정아와 현수에게
전혀 예상하지 못한 제안을 하게 되는데…

이것은 소음인가 신호인가
위아래 없는 섹다른 영화가 온다!",8.2점,윗집 사람들,예매율 4.4%,개봉일 2025.12.03,211
6위,https://img.megabox.co.kr/SharedImg/2025/10/24/fIJpT1BgMnoaQaAYbXF8Z9bKxjmWMZWQ_420.jpg,극장판 체인소 맨: 레제편,0,0,0,1,"인기 애니메이션 '체인소 맨' 첫 공식 극장판 국내 상륙!
압도적 배틀 액션이 스크린에서 폭발한다!

데블 헌터로 일하는 소년 ‘덴지’는 조직의 배신으로 죽음에 내몰린 순간
전기톱 악마견 ‘포치타’와의 계약으로 하나로 합쳐져
누구도 막을 수 없는 존재 ‘체인소 맨’으로 다시 태어난다.

악마와 사냥꾼, 그리고 정체불명의 적들이 얽힌 잔혹한 전쟁 속에서
‘레제’라는 이름의 미스터리한 소녀가 ‘덴지’ 앞에 나타나는데…
‘덴지’는 사랑이라는 감정에 이끌려 지금껏 가장 위험한 배틀에 몸을 던진다!",9.5점,극장판 체인소 맨: 레제편,예매율 2.9%,개봉일 2025.09.24,5.4k
7위,https://img.megabox.co.kr/SharedImg/2025/10/20/fIwkU2Lnmv8AZzLk9gDbdlhDNSk2WFy6_420.jpg,반지의 제왕: 두 개의 탑,0,0,0,1,"2002년 12월, 운명을 건 최후의 전쟁이 시작된다!
9명의 반지원정대는 사우론의 사악한 세력에 맞서 반지를 지켜냈지만 반지 원정대는 뿔뿔이 흩어지게 된다. 호빗족으로 절대반지에 유일한 내성을 보이는 '프로도'는 일행과 떨어져 '샘'과 함께 불의 산으로 모험을 감행하지만 새로운 위협을 맞이하고 사루만의 우르쿠하이 군대에게 잡혀간 '메리'와 '피핀'은 엔트 족의 영역에서 '트리비어드'라는 엔트 족에게 구출 받게 된다. 한편 '메리'와 '피핀'을 구하기 위해 우루쿠하이 군대를 추격하던 '아라곤'과 '레골라스', '김리'는 유령 숲에서 백색의 마법사로 부활한 마법사 '간달프'를 만나게 되고 악의 군주 '사우론'이 암흑세계의 두 개의 탑 '오르상크'와 '바랏두르'를 통합하여 점점 그 세력을 넓혀가고 있다는 사실을 듣게 된다. 이에 '아라곤'과 나머지 원정대는 중간계의 선한 무리의 통합을 이뤄 '사우론'의 강력한 세력을 견제해야하는 큰 임무를 맡게 된다. 하지만 동맹관계가 깨져 '곤도르' 왕국과 '로한'왕국으로 나뉜 인간 종족의 통합은 쉽지 않고 게다가 '로한'의 왕마저 '사루만'에게 동화되는데.. 결국 '사우론'은 서서히 중간계를 거대한 전쟁의 소용돌이로 몰고 가고 '아라곤' 또한 인간과 엘프, 난쟁이족, 그리고 엔트족 등을 통합하여 이에 맞설 준비를 한다. 결코 피할 수 없는 거대한 전쟁이 시작된 것이다.",9.7점,반지의 제왕: 두 개의 탑,예매율 2.8%,개봉일 2025.12.03,964
8위,https://img.megabox.co.kr/SharedImg/2025/11/12/huLnCjq5RIT0i8PBjnokfF4hjydVocVl_420.jpg,나우 유 씨 미 3,0,0,0,1,"나쁜 놈들 잡는 마술사기단, 훔치고, 속이고, 즐겨라!

한때 더러운 방식으로 돈을 모으는 재벌들을 시원하게 혼내주던 마술사기단 ‘포 호스맨’.

은퇴 후 평범한 삶을 살고 있던 그들에게 새로운 임무를 알리는 의미심장한 카드가 배달된다.
그렇게 다시 모이게 된 오리지널 ‘포 호스맨’은
자신들을 흉내 내던 신예 마술사들까지 영입하며 미션을 준비한다.

그들의 목표는 무기 밀매, 자금 세탁 등 더러운 돈에 물든 ‘하트 다이아몬드’를 훔치는 것.
하지만 다이아몬드를 훔치고, 통쾌한 쇼를 선보이려는 이들 앞에는 수많은 함정이 펼쳐지는데…

올가을, 더 통쾌해진 지상 최고의 쇼가 스크린에 펼쳐진다!",7.9점,나우 유 씨 미 3,예매율 2.7%,개봉일 2025.11.12,864
9위,https://img.megabox.co.kr/SharedImg/2025/11/05/nyjO3o2f1RsJaYYIJZKsIWHcucnZYeam_420.jpg,국보,0,0,0,1,"눈앞에서 아버지를 잃고 가부키 명문가 
하나이 한지로(와타나베 켄)에게 맡겨진 소년 키쿠오(쿠로카와 소야).

운명이 결정짓는 세계에 이방인으로 뛰어든 키쿠오(요시자와 료)는
명문가의 아들 슌스케(요코하마 류세이)와 부딪히며 라이벌로 성장하게 된다.

서로의 길을 시험하는 치열한 경쟁에 놓인 두 사람.
세상에 단 하나뿐인 이름 국보를 향해 달리기 시작하는데…

최고를 향한 열망, 서로를 뛰어넘어야 한다.",8.9점,국보,예매율 1.9%,개봉일 2025.11.19,930
10위,https://img.megabox.co.kr/SharedImg/2025/11/14/Y4DuBeHbydcuRxZpJoX88oCVMqqnRFpg_420.jpg,에이티즈 브이알 콘서트 : 라이트 더 웨이,0,0,0,1,"[KR] 
어느 날, 아지트에서 평화로운 시간을 보내던 ATEEZ에게 도착한 의문의 메시지.
그 순간, 모든 것이 변하기 시작했다.

사라진 ATINY…
마치 최면에 빠진 듯 몽환적인 폐허를 지나
불길이 휘몰아치며 무너져가는 세계와 짙은 안개의 다크시티 속으로-
정체 모를 존재에게 쫓기며 ATINY를 찾기 위한 반격을 시작하는 ATEEZ.

1초도 놓칠 수 없는 강렬한 몰입 ‘INCEPTION’, 
자유와 에너지로 폭발하는 글로벌 히트곡 ‘BOUNCY (K-HOT CHILLI PEPPERS)’,
절제된 카리스마의 정점 ‘Ice On My Teeth’ 까지!

세계가 인정한 퍼포먼스, 
K-POP의 최전선을 이끄는 ATEEZ의
첫 시네마틱 VR 콘서트 <LIGHT THE WAY>

함께일 때 완성되는 이야기
ATEEZ가 기다리는 또 다른 차원으로 지금, 당신을 초대한다.

—------------------------------------------------------------------------------

[JP]

ある日、アジトで穏やかな時間を過ごしていたATEEZに届いた、謎のメッセージ。
その瞬間、すべてが動き出した。


姿を消したATINY…
まるで催眠にかかったかのような夢幻の廃墟を抜け、
炎が渦巻き崩壊していく世界、濃い霧に覆われたダークシティへ―
謎の存在に追われながら、ATINYを戻すための反撃を始めるATEEZ。

一瞬たりとも目が離せない圧倒的没入感「INCEPTION」、
自由とエナジーが爆発するグローバルヒット曲「BOUNCY (K-HOT CHILLI PEPPERS)」
研ぎ澄まされたカリスマの極致「Ice On My Teeth」まで！

世界が認めるパフォーマンス、
K-POPの最前線を走り続けるATEEZの
初のシネマティックVRコンサート〈LIGHT THE WAY〉。

一緒にいることで完成する物語。
ATEEZが待つ異次元へ―今、あなたを招待する。



—------------------------------------------------------------------------------

[ENG]
One day, a mysterious message arrives for ATEEZ, 
who had been spending a peaceful time in their hideout.
At that moment, everything began to change.

ATINY has vanished…
As if under a spell, ATEEZ wanders through a dreamlike wasteland,
into a collapsing world engulfed in flames, and the Dark City veiled in dense fog.
Pursued by an unknown force, ATEEZ begins to fight back to find ATINY.

Experience an intense immersion where every second counts with INCEPTION, 
an explosion of freedom and energy in the global hit BOUNCY (K-HOT CHILLI PEPPERS),
and the pinnacle of refined charisma with Ice On My Teeth!

With world-class performances,
ATEEZ, who leads at the forefront of K-pop, unveils their
first cinematic VR concert, <LIGHT THE WAY>.

A story that’s completed only when we’re together.
ATEEZ now invites you to another dimension, where they await you.

[ENG] SHORTER
Welcome to the mysterious Dark City, 
where ATEEZ fights back against an unknown force to rescue ATINY.

From INCEPTION and BOUNCY (K-HOT CHILLI PEPPERS) to Ice On My Teeth,
you can’t miss a single second of this intense cinematic experience.

<ATEEZ VR CONCERT : LIGHT THE WAY>


[CN] 

正在基地享受宁静时光的ATEEZ，突然收到一条神秘讯息
那一刻起，一切开始了变化。
消失的ATINY…
如同被催眠般穿越梦幻的废墟
在烈焰席卷的崩塌世界与浓雾笼罩的暗黑之城中
被不明存在追逐的ATEEZ，为找回ATINY展开绝地反击。
每一秒都不容错过的强烈沉浸《INCEPTION》，
引爆自由能量的全球热门歌曲《BOUNCY（K-HOT CHILLI PEPPERS）》
极致克制中迸发魅力的《Ice On My Teeth》！
获世界认证的舞台实力，
引领K-POP前沿的ATEEZ
首部电影风格VR演唱会《LIGHT THE WAY》。
唯有相聚之时才能完成的故事。
ATEEZ正在等待，邀您此刻踏入跨越维度的时空邂逅。",0점,에이티즈 브이알 콘서트 : 라이트 더 웨이,예매율 1.8%,개봉일 2025.12.05,438
