,LOCK_NAME,N_수문단위,geometry
0,영평동현무암,현무암질 용암류 II,"POLYGON ((277100.94680070295 3761993.7034292123, 277095.6279878017 3761987.5535019254, 277089.8439483687 3761978.280841389, 277075.57874242007 3761954.7251764727, 277067.5449600965 3761937.992047824, 277059.19319562346 3761925.2674172, 277049.286824545 3761904.758591357, 277043.6943959348 3761894.731760554, 277022.7253144502 3761866.3639023188, 277012.10211745533 3761854.8041817164, 277006.9974044048 3761849.9007953247, 277002.0876528134 3761849.4961993257, 276999.75537396513 3761853.043670636, 276999.95807143196 3761858.362782562, 277005.9434638673 3761867.381381678, 277020.4703507711 3761889.1209176052, 277028.10849943315 3761906.3020158857, 277031.32727153465 3761927.491504889, 277040.31384343497 3761957.543737514, 277047.829808408 3761973.536528601, 277059.384090377 3761996.454636454, 277071.335850872 3762014.362117936, 277080.9447854728 3762024.690877617, 277089.5778858962 3762031.526637171, 277092.69185271364 3762032.096305313, 277099.2691537355 3762030.8374572396, 277104.7410853623 3762024.0969903586, 277106.7516996667 3762004.0462977653, 277100.94680070295 3761993.7034292123))"
1,영평동현무암분석구,화산성퇴적층 I,"POLYGON ((278509.48276416253 3762055.38070116, 278525.74066940485 3762026.2174207694, 278556.94793915807 3761920.2292786622, 278583.6925841273 3761869.7996589504, 278604.3617279049 3761791.75270819, 278608.39245126134 3761714.0300470972, 278601.55238295 3761647.605549233, 278572.8548408854 3761598.2564853216, 278549.92493132694 3761559.8813046245, 278448.4066823041 3761473.1193057913, 278370.03448507277 3761435.8245631335, 278324.5985624816 3761381.248456538, 278290.7980100557 3761354.1813737946, 278240.3589809529 3761327.4385292158, 278145.896603672 3761318.1830633795, 278095.89791577304 3761313.614262277, 277957.4040455009 3761321.8563542375, 277913.37260667485 3761339.3539308226, 277802.82013316336 3761358.1478694915, 277741.834258005 3761359.3363564624, 277620.08667298954 3761372.7953098128, 277531.5997784518 3761385.6160973245, 277515.4016299648 3761408.114477119, 277489.18882139714 3761486.2698124005, 277489.8371328958 3761519.53624938, 277490.3772663695 3761547.251612078, 277496.89317675994 3761597.043231046, 277498.1896433304 3761663.566099761, 277460.2499715056 3761708.6709489697, 277444.1600386794 3761736.7204349265, 277395.44944180944 3761798.6747748484, 277380.1156803287 3761865.5218008608, 277369.89337833633 3761910.096491956, 277354.23545778816 3761960.3103055037, 277355.64023054065 3762032.3842920824, 277361.7238596291 3762059.9916226347, 277389.76520898053 3762076.0846098405, 277407.3537515657 3762089.3595982357, 277403.1032331448 3762089.7526239944, 277410.59841352724 3762098.7517782953, 277417.9154100253 3762098.609160662, 277432.8346137941 3762112.9567597173, 277443.4269454421 3762116.5824980787, 277462.045532561 3762130.627856061, 277468.0873526955 3762137.8843194745, 277484.7310328886 3762146.71515724, 277506.967228718 3762160.9201290472, 277514.53376112756 3762173.579984346, 277525.7189893679 3762184.3382551963, 277533.2855224735 3762196.9981086026, 277537.2251120022 3762211.5597057855, 277537.54600767535 3762228.0228865673, 277539.6625379934 3762242.6200178927, 277541.8504233828 3762260.8778561084, 277551.39097941783 3762280.823423941, 277568.16872930434 3762296.9558179374, 277579.4335649153 3762311.374625621, 277585.13331089955 3762322.2498167083, 277588.9658747413 3762331.3203486376, 277596.5324141036 3762343.980193327, 277600.5159392402 3762360.3719759416, 277600.6586509391 3762367.693388269, 277602.87378009525 3762387.771732075, 277603.2303671146 3762406.0652606864, 277603.5512772379 3762422.5284361937, 277603.8721885936 3762438.9916116474, 277604.2285849082 3762457.275138159, 277604.5494988654 3762473.7383135, 277614.1257504419 3762495.514219297, 277627.2493362334 3762511.7278294014, 277646.00937296695 3762535.145751933, 277660.9642690371 3762551.3236589995, 277672.1495082076 3762562.0819034358, 277688.7575102104 3762569.0823485935, 277716.51487456757 3762585.0006797123, 277736.91976641974 3762599.241290938, 277755.35082403535 3762606.2061932795, 277764.57047691115 3762609.6885636197, 277777.4443019519 3762613.089694913, 277795.8753565991 3762620.0545948283, 277816.1020378218 3762625.153443421, 277839.8842926393 3762624.6898400695, 277856.3850487068 3762626.1892205914, 277867.3563959262 3762625.9753487576, 277889.30733785115 3762625.5474443454, 277896.6243180067 3762625.404809565, 277907.5956632166 3762625.190937817, 277914.9126427649 3762625.0483030686, 277924.0254440844 3762623.049621008, 277931.3067430785 3762621.0766360597, 277938.5523618729 3762617.2733010235, 277942.13536669617 3762613.541363816, 277947.4785136023 3762606.1230295873, 277952.75835519785 3762595.0338328006, 277952.7410027373 3762594.1436625305, 277954.4312061835 3762591.9494803366, 277952.6875805824 3762591.403138331, 277952.65151089715 3762589.552784392, 277941.5648796164 3762584.2757645124, 277926.8952423018 3762582.7306809523, 277917.64836111746 3762577.4278027373, 277906.56172836025 3762572.1507814117, 277899.1733893227 3762568.632713303, 277889.9265073094 3762563.329833825, 277878.804194008 3762556.222460404, 277865.8946963397 3762550.9909764794, 277858.4706768757 3762545.642556111, 277849.1441859028 3762536.6791335396, 277836.12745423184 3762525.946592587, 277819.4565505334 3762515.2952874657, 277808.26307202847 3762504.5372086163, 277793.3081894512 3762488.3593091494, 277782.1586389033 3762479.431418401, 277778.17510824255 3762463.039651493, 277776.06681479246 3762448.442377369, 277775.78158149717 3762433.809566436, 277790.13031713583 3762418.891499467, 277802.86161937146 3762414.9812379307, 277815.6285992234 3762412.90132813, 277835.7839172708 3762414.3394931243, 277859.6018487903 3762415.7062635473, 277885.3496760754 3762422.5185475065, 277900.05499345297 3762425.893992616, 277905.5406661575 3762425.787061719, 277916.58336793934 3762429.233900826, 277931.32436176704 3762434.4396953313, 277949.6564166221 3762435.903392233, 277969.8474009916 3762439.1719042878, 277990.0740620592 3762444.2707655765, 278013.91921147355 3762447.458040386, 278045.30365444394 3762461.484621046, 278063.6276458212 3762462.9584776834, 278080.271293792 3762471.789267078, 278094.97640389786 3762475.15470405, 278109.7173868247 3762480.360491301, 278124.42269005603 3762483.7359291674, 278131.84650404926 3762489.0743432953, 278142.8178376798 3762488.86047863, 278151.96611470357 3762488.6821509, 278166.6000574993 3762488.3968908754, 278194.03663534106 3762487.862068654, 278205.0079658701 3762487.6482041245, 278221.4020470934 3762483.6765527, 278232.3376974705 3762481.6323406147, 278246.8645986706 3762475.856038158, 278263.2941607281 3762473.7047340237, 278276.06111329014 3762471.6248252923, 278299.7282286151 3762465.6803607303, 278306.9024808262 3762458.216342869, 278312.1742671814 3762447.13733047, 278321.1086615842 3762435.9869241337, 278333.51902324206 3762415.613550391, 278333.4478618123 3762411.962858344, 278342.3463841034 3762398.972105727, 278345.78686901764 3762387.928793357, 278347.43997786666 3762378.751364128, 278354.54307080636 3762367.636659012, 278356.1603077515 3762356.618881616, 278363.2277239171 3762343.67383092, 278368.4281597205 3762328.934130703, 278380.62466003094 3762297.588689674, 278389.4877050554 3762282.777599822, 278396.5908015042 3762271.6628999286, 278396.34125782736 3762258.8604765018, 278405.16037896316 3762242.21920365, 278413.91639692476 3762221.9170786627, 278424.753454661 3762214.3916837927, 278441.1034039876 3762208.5798695595, 278457.49747274385 3762204.608243271, 278468.43311403587 3762202.564047309, 278477.54570138804 3762200.555386003, 278478.8107889829 3762198.989851072, 278479.19141778094 3762199.0424661012, 278479.24571349163 3762198.441066412, 278486.4801016476 3762189.40499807, 278495.26354831015 3762170.933389155, 278498.64093937224 3762156.2292359346, 278500.25013173127 3762145.221629964, 278501.7962220968 3762130.553172121, 278499.679708726 3762115.9561035405, 278499.4299793101 3762103.143684027, 278500.90491655667 3762084.8245370267, 278507.8296430009 3762064.5581212253, 278509.48276416253 3762055.38070116))"
2,해안동현무암질조면안산암,현무암질 용암류 II,"POLYGON ((260486.00055338675 3758482.773839935, 260491.02778248463 3758484.1068637776, 260497.50075916934 3758482.5498706177, 260503.08269047536 3758481.43050409, 260508.8294999726 3758478.6068206965, 260512.1641276144 3758475.239731405, 260515.28712412628 3758471.176308422, 260517.07568051314 3758465.54783975, 260516.8709051777 3758460.118295657, 260515.8600564652 3758454.4042547815, 260511.66796510504 3758449.7628258527, 260507.3000862597 3758446.2655618214, 260502.25337756876 3758443.932266042, 260497.33897736302 3758443.3075059066, 260491.84201744193 3758443.7047482333, 260482.877730648 3758445.740538508, 260478.71767496134 3758448.253137008, 260473.59277395654 3758452.0753654386, 260470.1981083969 3758457.4449255993, 260469.8230513847 3758464.036511471, 260469.00758955503 3758468.355190737, 260471.52535507904 3758474.3200674527, 260476.60829823313 3758478.513867446, 260480.95669783963 3758481.0108600524, 260486.00055338675 3758482.773839935))"
3,해안동현무암질조면안산암,현무암질 용암류 II,"POLYGON ((260976.0879804529 3758452.51585956, 260987.3959344821 3758462.7624177462, 260989.2767857723 3758466.95853035, 260992.45447752983 3758470.789166255, 260997.74696440762 3758475.148985539, 261002.9741242364 3758476.5781774307, 261008.01244521537 3758478.481351609, 261013.97931680916 3758476.36384909, 261017.0405538284 3758469.129583249, 261016.13260053113 3758463.6136811906, 261012.23556225904 3758458.8664521114, 261008.86474657708 3758455.2897395534, 261000.93209013488 3758448.849956723, 260991.05640296804 3758440.106496966, 260979.11998697167 3758428.1010294664, 260971.3761691319 3758421.1872624033, 260966.42535184225 3758418.691999883, 260959.56302267115 3758420.596791112, 260956.04942871683 3758425.368266033, 260956.6787008074 3758431.830206633, 260959.1573046671 3758435.78452969, 260963.14866541736 3758440.2897677696, 260969.6788619117 3758446.756865035, 260973.2385168916 3758449.859595955, 260976.0879804529 3758452.51585956))"
4,해안동현무암질조면안산암,현무암질 용암류 II,"POLYGON ((260804.83941472776 3758511.3769656834, 260808.78967603584 3758513.7716363184, 260815.38482223006 3758513.4030375704, 260820.93148568211 3758510.4731837534, 260825.31540652015 3758504.624066604, 260826.19584096954 3758498.132720317, 260824.67201619424 3758491.9283534787, 260819.9817584902 3758487.5568025406, 260813.91092472363 3758483.912592857, 260808.01090254186 3758484.377724416, 260800.9527171963 3758486.396404775, 260796.70298418423 3758494.474356593, 260796.52267977694 3758500.4717568527, 260799.83132015984 3758505.9409100963, 260804.83941472776 3758511.3769656834))"
5,해안동현무암질조면안산암,현무암질 용암류 II,"POLYGON ((260677.5701960806 3758408.767344374, 260683.66678491663 3758408.648613902, 260689.40443505422 3758405.354807703, 260693.36958024482 3758398.343084697, 260695.54757161564 3758391.9465432563, 260695.0438581683 3758386.422760334, 260692.22806326527 3758380.8339331835, 260687.1554512991 3758377.170278282, 260681.90101278262 3758374.340703506, 260675.81448515435 3758375.3998478563, 260672.36664074747 3758378.0386636714, 260667.769650973 3758383.541704329, 260665.35937964765 3758388.181626446, 260665.48755758803 3758394.7634059, 260666.90108498244 3758400.3895490295, 260672.31413034708 3758406.2780228336, 260677.5701960806 3758408.767344374))"
6,해안동현무암질조면안산암,현무암질 용암류 II,"POLYGON ((260358.73712620724 3758365.2142092353, 260364.97401872824 3758367.2141280174, 260371.36436551585 3758366.499293618, 260376.223640366 3758364.2932867515, 260381.35134061385 3758360.190821903, 260383.96642857863 3758355.8971332903, 260384.54415914614 3758349.541754335, 260382.22906617066 3758343.813083158, 260379.03110881752 3758338.9421522096, 260375.1834138244 3758336.3053199686, 260369.43469159535 3758333.9456656, 260363.60528262542 3758332.5281945476, 260357.1604781765 3758335.955853278, 260353.44563450615 3758340.140874811, 260350.33412633452 3758344.794459353, 260348.55212035653 3758351.1832986325, 260350.2807575431 3758357.7339191567, 260354.26764747032 3758362.0091085494, 260358.73712620724 3758365.2142092353))"
7,정실현무암,현무암질 용암류 II,"POLYGON ((268736.7905393211 3761450.1184067363, 268736.11041667435 3761456.295438991, 268739.07703052904 3761464.5427138973, 268743.5519735682 3761468.4579564454, 268752.6451030562 3761467.9705538917, 268754.8299437738 3761461.9343014765, 268750.9361299209 3761451.8439563788, 268743.63843185594 3761447.063160776, 268738.2710866328 3761449.0188968736, 268736.7905393211 3761450.1184067363))"
8,정실현무암,현무암질 용암류 II,"POLYGON ((268591.0362164886 3761487.129910593, 268592.3854125587 3761494.9584357413, 268596.2270518 3761501.947901165, 268602.0173073975 3761506.4478861615, 268608.2150695939 3761506.0269151353, 268612.56701388315 3761503.630683092, 268613.8495426307 3761497.4519131994, 268610.8199943537 3761491.0569960936, 268609.0426286551 3761487.089179318, 268604.2715823266 3761478.5668754806, 268599.10732107534 3761475.27543896, 268593.94620963733 3761477.2271577646, 268589.76278646017 3761483.612554793, 268591.0362164886 3761487.129910593))"
9,정실현무암,현무암질 용암류 II,"POLYGON ((268533.59242234577 3761502.087909843, 268528.9916115919 3761501.877389729, 268524.16022879 3761505.503715654, 268521.46339648 3761511.0996765215, 268523.27078295173 3761516.6078555463, 268529.34541388706 3761520.031642339, 268534.4344333651 3761519.4621745264, 268539.87387602194 3761516.1241823253, 268541.1062449063 3761507.7950674533, 268537.00257824204 3761502.181548365, 268533.59242234577 3761502.087909843))"
10,도남동조면현무암,현무암질 용암류 II,"POLYGON ((268139.2824722079 3761440.7100201296, 268145.1386570158 3761443.0874255756, 268150.1803176858 3761440.0873849345, 268154.6784709498 3761434.606402964, 268155.0549239111 3761428.5153217907, 268150.52051625465 3761421.5493480987, 268143.6905085312 3761420.4416903364, 268138.2500799918 3761423.729674441, 268135.37129959045 3761429.729436317, 268135.99550766347 3761436.3513554716, 268139.2824722079 3761440.7100201296))"
11,도남동조면현무암,현무암질 용암류 II,"POLYGON ((268019.66968262626 3761417.4653367326, 268020.5163073773 3761424.913436562, 268023.36415543535 3761427.4895578637, 268027.52068811364 3761430.3103413074, 268032.24707619916 3761431.4589957125, 268037.6236004634 3761429.9733648454, 268046.78083103197 3761422.610478866, 268049.3572351821 3761415.9161760416, 268049.4550004789 3761405.6879713456, 268047.9826058676 3761402.124453049, 268043.80716594297 3761398.333439901, 268037.6062687675 3761398.594371216, 268035.9230501587 3761399.4576859525, 268031.57713610504 3761402.1639956273, 268024.40556301 3761408.9378449577, 268019.66968262626 3761417.4653367326))"
12,도남동조면현무암,현무암질 용암류 II,"POLYGON ((267976.91741181375 3761380.0149147916, 267979.33358316415 3761375.6851884252, 267979.9782623396 3761372.770836369, 267980.8417582116 3761365.839747066, 267978.22637193167 3761359.947052934, 267972.6834072283 3761357.973792203, 267965.3025085288 3761359.0882303664, 267961.37693465117 3761363.0371194105, 267956.44033401844 3761371.428437918, 267953.67393129214 3761378.5366986413, 267957.0840624901 3761384.1337323273, 267961.30196896195 3761385.0221309965, 267965.3082423088 3761385.214222259, 267970.783762594 3761383.7266628393, 267975.0359470396 3761381.2923459373, 267976.91741181375 3761380.0149147916))"
