,LOCK_NAME,N_수문단위,geometry,index_right,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
0,영평동현무암,현무암질 용암류 II,"POLYGON ((161686.82660764936 103813.31538161042, 161681.6284510396 103807.06526101072, 161676.02546854346 103797.6846434793, 161662.22004113268 103773.8629912908, 161654.51205625114 103756.98140838795, 161646.40890987558 103744.10064177425, 161636.90187077783 103723.40871338849, 161631.50496620894 103713.27791662177, 161611.09105071108 103684.5166656464, 161600.69488436164 103672.75656100764, 161595.68670455116 103667.75663329434, 161590.78665596427 103667.2575141298, 161588.38687050308 103670.75863625831, 161588.4869154298 103676.0795976551, 161594.29607514243 103685.21012808615, 161608.39810991273 103707.2213874259, 161615.70197757438 103724.54313169152, 161618.5108785986 103745.78649162938, 161626.91443164524 103776.00039510417, 161634.11907418203 103792.13193961093, 161645.22691773606 103815.26400020276, 161656.82871315454 103833.39504046185, 161666.23474258385 103843.90511123714, 161674.7326772525 103850.90471491113, 161677.83445374694 103851.53421517886, 161684.4334878223 103850.40269633598, 161690.03329232166 103843.77036142343, 161692.42980255053 103823.76619647502, 161686.82660764936 103813.31538161042))",,,,,
1,영평동현무암분석구,화산성퇴적층 I,"POLYGON ((163093.63297741272 103902.13245776133, 163110.44711515203 103873.29379988293, 163143.68647246563 103767.94776812522, 163171.3934574352 103718.05306339049, 163193.5598114471 103640.43434454763, 163199.08778431235 103562.8189297333, 163193.53120193837 103496.28776039236, 163165.79616448993 103446.40406547353, 163143.61495289946 103407.60131194437, 163043.8083062967 103318.91476974543, 162966.18507300917 103280.12302683026, 162921.81880191958 103224.69161145587, 162888.55303740856 103196.98310571286, 162838.64889214316 103169.27790434175, 162744.4010286521 103158.20457567833, 162694.50953393543 103152.67346192163, 162555.9097057194 103158.24200937687, 162511.5577406471 103174.88388534053, 162400.6852496735 103191.53897195641, 162339.69985193055 103191.55108339107, 162217.73950548188 103202.6573480898, 162129.03942409653 103213.76700923388, 162112.41369396079 103235.94440057088, 162084.70396440936 103313.56421785866, 162084.71056708583 103346.83035177714, 162084.71606796392 103374.54546214838, 162090.26934897513 103424.44356218696, 162090.2825520813 103490.96582822804, 162051.48771434595 103535.32171143731, 162034.86308575116 103563.05012614309, 161984.9765459063 103624.0412794252, 161968.35961732172 103690.56684773648, 161957.28166684453 103734.92722842778, 161940.66143694098 103784.8197297437, 161940.67574096867 103856.89301913441, 161946.2246184944 103884.60702867934, 161973.94480498217 103901.23459174606, 161991.2705599703 103914.8436618353, 161987.0140998056 103915.15456423903, 161994.33284188528 103924.29479691893, 162001.6497696886 103924.29334396869, 162016.28652933228 103938.92313619144, 162026.80485773634 103942.7517540406, 162045.14540553838 103957.150768388, 162051.04495571193 103964.52095639991, 162067.51192182075 103973.66937437473, 162089.46560929876 103988.29771372437, 162096.7850778801 104001.0986214563, 162107.7585225886 104012.06846604426, 162115.0779911658 104024.86937378539, 162118.73523453332 104039.50134632038, 162118.73850176056 104055.96438200143, 162120.57269996143 104070.59671654418, 162122.40762464187 104088.88972608931, 162131.55984039162 104109.01162024279, 162148.02000643773 104125.4613862877, 162159.00242668146 104140.09190431813, 162164.49023974407 104151.07284009014, 162168.14639334523 104160.21380014915, 162175.46586188412 104173.01470795966, 162179.13171750738 104189.47701641318, 162179.1331704575 104196.79836644564, 162180.9602072526 104216.91171335033, 162180.96383762633 104235.20508658001, 162180.96710475662 104251.6681223092, 162180.9703718789 104268.1311580377, 162180.97400023945 104286.4145294354, 162180.97726734474 104302.87756516674, 162190.12984621353 104324.82979694463, 162202.93567477405 104341.29029059457, 162221.2368369589 104365.06104160089, 162235.8739597482 104381.5211716718, 162246.84740438382 104392.49101645732, 162263.31400726113 104399.8090972107, 162290.75368958013 104416.25668342487, 162310.87608279384 104430.88538683223, 162329.16573086308 104438.20310563664, 162338.31467943557 104441.86196423153, 162351.11796543695 104445.51009538438, 162369.40761352645 104452.82781421283, 162389.52819264444 104458.31483191357, 162413.31027059513 104458.3101098173, 162429.77578188814 104460.12717623787, 162440.74704921665 104460.12499782193, 162462.69783295394 104460.12063934299, 162470.01476087025 104460.11918651738, 162480.98602820997 104460.11700810073, 162488.3029561315 104460.11555528361, 162497.45081706194 104458.29340315307, 162504.7673817624 104456.46161280147, 162512.08358323833 104452.79948491964, 162515.73719621458 104449.13808427163, 162521.2213789801 104441.82564678637, 162526.713082381 104430.8425307693, 162526.71290572904 104429.95236661425, 162528.4447823753 104427.79162425583, 162526.7123618833 104427.21186124726, 162526.71199468683 104425.36152002332, 162515.7313885789 104419.8726875041, 162501.09716950453 104418.04525564279, 162491.95610871105 104412.56605972163, 162480.97550261664 104407.07722721162, 162473.65784824442 104403.4180049994, 162464.51678745868 104397.93880908319, 162453.53581814328 104390.61963906203, 162440.73216886952 104385.14117039391, 162433.4141512777 104379.65161066485, 162424.26411496734 104370.51174135937, 162411.45937403024 104359.5322582968, 162395.00029566922 104348.56350269337, 162384.0186018887 104337.59365950886, 162369.3814790066 104321.13352938346, 162358.40839753518 104311.99402210477, 162354.7425419483 104295.53171352588, 162352.91659290233 104280.89937721641, 162352.9136890177 104266.26667891693, 162367.54464090156 104251.63107487839, 162380.34647597407 104247.96785772167, 162393.1486742866 104246.13497808314, 162413.26852697897 104247.96132061293, 162437.0509681711 104249.78693589044, 162462.65754227457 104257.09319991048, 162477.29212457113 104260.75096921844, 162482.77775824 104260.74987997685, 162493.74975205163 104264.40837654774, 162508.38469759712 104269.8964833931, 162526.68150319456 104271.71318608872, 162546.80171920214 104275.36986617354, 162566.92229845296 104280.8568837964, 162590.69685193605 104284.50283643627, 162621.79876185732 104299.12935977848, 162640.0873204489 104300.95606598293, 162656.5542867816 104310.10448432103, 162671.18886717805 104313.75225183461, 162685.8238128004 104319.24035873235, 162700.45839519595 104322.8981281055, 162707.77641087477 104328.37768602162, 162718.74767829187 104328.37550756038, 162727.89590052562 104328.37369108986, 162742.5297564739 104328.37078538269, 162769.96617413036 104328.36533760198, 162780.93744156897 104328.36315914069, 162797.40186732757 104324.70921657427, 162808.3727715403 104322.87670057075, 162823.00553782808 104317.38278223318, 162839.47032485495 104315.54917535657, 162852.27252335378 104313.71629572229, 162876.04526484435 104308.23056438338, 162883.36073991467 104300.90776133485, 162888.84419623105 104289.93464865594, 162897.9902410844 104278.96080872335, 162910.7888092308 104258.83455543028, 162910.78808474285 104255.18388217344, 162919.93376436745 104242.36970283894, 162923.585926396 104231.396953771, 162925.41540646093 104222.25490423676, 162932.73015703048 104211.28142790584, 162934.55927186203 104200.29903897893, 162941.8736591838 104187.49522509234, 162947.35638898826 104172.86143727863, 162960.15277960664 104141.7631604597, 162969.2980979394 104127.12864536891, 162976.6128484796 104116.15516901325, 162976.61030774936 104103.3528079933, 162985.74701374912 104086.88795697194, 162994.89124232007 104066.76242919837, 163005.86930789586 104059.448900658, 163022.32511942193 104053.95462017745, 163038.78954526313 104050.30067744886, 163049.76044953792 104048.46816134622, 163058.90830861154 104046.63600724208, 163060.203107438 104045.09546601068, 163060.58257672025 104045.15540173132, 163060.64845020886 104044.55527795403, 163068.05435342249 104035.66216720187, 163077.19069615798 104017.36697856238, 163080.8503806968 104002.7335526757, 163082.67124837788 103991.76116718038, 163084.49963862135 103977.1281049329, 163082.6654402964 103962.49576996814, 163082.66289751994 103949.68340707588, 163084.490563218 103931.39967155951, 163091.80349743683 103911.27450734162, 163093.63297741272 103902.13245776133))",,,,,
2,해안동현무암질조면안산암,현무암질 용암류 II,"POLYGON ((145146.6126753854 99983.60515364876, 145151.61189501573 99985.03442324616, 145158.11187719204 99983.60286859842, 145163.7127942824 99982.59156985226, 145169.5113514216 99979.87991915765, 145172.9093123923 99976.57863697904, 145176.109156701 99972.5772654126, 145178.00533239372 99966.98586046911, 145177.90526522388 99961.55488162767, 145177.0049788087 99955.82400662528, 145172.90425430416 99951.10395336471, 145168.6057785397 99947.5241490759, 145163.60636031438 99945.0946956001, 145158.70627050547 99944.37553689105, 145153.20419925655 99944.66668357322, 145144.20483465405 99946.52881398407, 145139.99829218263 99948.96009682806, 145134.8021176431 99952.68181358918, 145131.30556503573 99957.98348321527, 145130.80367856647 99964.56479317416, 145129.90538401037 99968.86576255766, 145132.30705653646 99974.87639070483, 145137.30684412835 99979.16618621623, 145141.6051212959 99981.74580661528, 145146.6126753854 99983.60515364876))",,,,,
3,해안동현무암질조면안산암,현무암질 용암류 II,"POLYGON ((145637.05694986047 99962.8038881197, 145648.16227379534 99973.26360536297, 145649.96141084319 99977.49402592523, 145653.06383325113 99981.38412496261, 145658.26988141067 99985.84391083731, 145663.4670986326 99987.37315950863, 145668.46643154064 99989.3725339601, 145674.4713564865 99987.37097281904, 145677.67057131304 99980.19901822647, 145676.86931342565 99974.66816024465, 145673.06553547346 99969.84802950482, 145669.76518506196 99966.20801577898, 145661.960257209 99959.61835455213, 145652.25757881772 99950.68864001479, 145640.55797040812 99938.45871529216, 145632.95092687244 99931.39892830286, 145628.05046562458 99928.80942568881, 145621.15459557605 99930.5811215759, 145617.55068587424 99935.28270224843, 145618.05516396067 99941.75379209575, 145620.4564373599 99945.75405068742, 145624.3591564729 99950.33411761053, 145630.76174261564 99956.92405749502, 145634.25997734437 99960.09394543851, 145637.05694986047 99962.8038881197))",,,,,
4,해안동현무암질조면안산암,현무암질 용암류 II,"POLYGON ((145464.75317087918 100018.33833390265, 145468.65547093778 100020.8080127918, 145475.2546783228 100020.56665729958, 145480.85523602605 100017.74502569909, 145485.3498346521 100011.9830730948, 145486.35493617278 100005.51168329472, 145484.95135726396 99999.28081627848, 145480.34749115756 99994.82091077056, 145474.34967143665 99991.06141101732, 145468.44340767674 99991.4126490461, 145461.34958185256 99993.29440448381, 145456.94616584218 100001.28674914659, 145456.65038891445 100007.27790969517, 145459.85212581078 100012.80829063663, 145464.75317087918 100018.33833390265))",,,,,
5,해안동현무암질조면안산암,현무암질 용암류 II,"POLYGON ((145339.51969975384 99913.32390283211, 145345.61576157587 99913.32269144763, 145351.41422540197 99910.14095429733, 145355.51263633915 99903.20886522578, 145357.81286546632 99896.85724016314, 145357.4158119457 99891.32630192488, 145354.70899732548 99885.6858024362, 145349.70931493965 99881.92610437097, 145344.51181973377 99878.99659828073, 145338.40769552113 99879.9379841712, 145334.91060074317 99882.5091518017, 145330.20970593323 99887.92108101893, 145327.7111496358 99892.51242176961, 145327.7124563725 99899.09363177448, 145329.01693128535 99904.74441176833, 145334.31402300374 99910.73446089786, 145339.51969975384 99913.32390283211))",,,,,
6,해안동현무암질조면안산암,현무암질 용암류 II,"POLYGON ((145021.6732054964 99863.64791758574, 145027.8686771017 99865.76707634621, 145034.26983723723 99865.17569580994, 145039.16936500868 99863.06433411507, 145044.3737329872 99859.06256422237, 145047.07033641537 99854.82124852989, 145047.77024817467 99848.47994337406, 145045.56660094828 99842.70932004758, 145042.46397204974 99837.77902986045, 145038.66886225896 99835.06928559107, 145032.96826526435 99832.59996411897, 145027.16886612333 99831.07083517016, 145020.66100628488 99834.37273534306, 145016.86725090764 99838.48424514593, 145013.66752380406 99843.07572519215, 145011.76325000412 99849.4272715053, 145013.3648760733 99856.00816343672, 145017.267549443 99860.35818796587, 145021.6732054964 99863.64791758574))",,,,,
7,정실현무암,현무암질 용암류 II,"POLYGON ((153336.54688562476 103108.66352206492, 153335.74794856028 103114.82481536746, 153338.5542802622 103123.12578680582, 153342.9518290527 103127.1256501876, 153352.05049266756 103126.81378602429, 153354.35079437494 103120.82222584862, 153350.6531937949 103110.66108882363, 153343.45077828242 103105.7416130515, 153338.04800411442 103107.59302684729, 153336.54688562476 103108.66352206492))",,,,,
8,정실현무암,현무암질 용암류 II,"POLYGON ((153190.14090692086 103142.84888954752, 153191.33858046343 103150.70009755704, 153195.04381471302 103157.7606620437, 153200.74483775912 103162.37037888757, 153206.94807945893 103162.06909162528, 153211.34437565622 103159.75779301475, 153212.74549688317 103153.60638197814, 153209.84054358804 103147.15577090549, 153208.14044097404 103143.15537180321, 153203.53575031445 103134.5447004651, 153198.43715161402 103131.155088689, 153193.24060424097 103133.00646151113, 153188.93583986867 103139.30847685755, 153190.14090692086 103142.84888954752))",,,,,
9,정실현무암,현무암질 용암류 II,"POLYGON ((153132.43315291285 103156.69289803592, 153127.83836092765 103156.39375534025, 153122.93911360027 103159.92537854356, 153120.13552925116 103165.4669557428, 153121.83593755655 103171.00763842434, 153127.84196380555 103174.54709760996, 153132.93979626233 103174.07599857677, 153138.44128531066 103170.84431101964, 153139.83373067898 103162.5425057201, 153135.84005091456 103156.85225087212, 153132.43315291285 103156.69289803592))",,,,,
