user_id,watch_ratio,weekly_minutes,login_days_7d,sessions_7d,assignment_submit_rate,quiz_avg,forum_posts_30d,device_main,signup_channel,paid,signup_date,last_active_date,completed
U180325,0.6442216086075401,128.67828097545203,3,7,0.061760718963853434,100.0,0,mobile,ad,0,2025-08-26,2025-09-13,0
U796559,0.4182103636005199,155.62268599474663,0,16,0.48912241330405115,51.141686150605835,0,mobile,sns,1,2025-03-25,2025-09-20,0
U689113,0.5728484529558512,48.7481869745643,5,15,0.17316830270916297,78.82202453648044,1,pc,sns,True,2025-08-27,2025-10-23,0
U494990,0.44506089232258156,230.45443127508548,5,11,0.6341809234645952,97.64804599078026,0,pc,search,Y,2025-06-25,2025-12-13,1
U489713,0.7892551378540293,146.199603504588,5,11,0.10969013608589542,55.55574005481784,0,mobile,search,0,2025-01-09,2025-02-26,0
U872737,0.8983248771131277,132.28832412284294,1,7,0.3846860055592772,86.01540128584281,0,pc,search,1,2025-11-30,2026-01-17,1
U177350,35%,150.23563429510767,5,9,0.6862717283702326,87.88604142393278,0,pc,sns,0,2025-10-17,2025-10-21,0
U727630,0.6627096786892087,72.35923914298439,5,10,0.5018318189569202,51.32415383127591,0,mobile,search,False,2025-08-13,2025-10-31,1
U281322,0.4486552248170736,112.44959952688552,6,9,0.31381183572574234,81.97306400185468,0,mobile,search,True,2025-09-02,2026-02-20,1
U184759,0.18370268279092639,154.3939218938517,4,9,0.1241236026266161,68.20157738374418,0,mobile,ad,0,2025-07-30,2026-01-07,0
U573830,0.3853472961366048,147.0873557743302,5,8,0.3804544172321775,71.15375884886205,2,mobile,ad,False,2025-05-05,2025-06-29,0
U978059,0.4183409293087446,20.489351544405373,3,1,0.5060020695242824,67.4506338469242,1,pc,search,0,2025-12-06,2026-02-17,0
U762176,0.8719764982618792,45.83486458885322,5,11,0.9866437850422595,90.37764728008484,1,mobile,sns,1,2025-07-21,2025-11-19,1
U785024,0.4925651317508567,138.6986365242306,5,13,0.7289401804076684,70.43030571440802,3,mobile,sns,0,2025-05-04,2025-10-23,1
U745728,82%,314.88823336835793,6,16,0.3666190817597397,65.51361051489116,1,mobile,referral,N,2025-09-07,2025-12-25,1
U172782,0.3965437556568894,322.07062225348363,6,7,0.7788221604819949,65.75074281320906,1,pc,search,1,2025-02-27,2025-04-04,0
U561903,0.710835130616558,218.77038979948324,0,8,0.40293303512595513,67.22614061755274,1,mobile,search,0,2025-04-27,2025-06-30,1
U215302,0.5399443303670753,57.09239056148688,6,16,0.5258400053407208,56.88650272097249,1,mobile,sns,0,2025-02-17,2025-06-28,0
