income_monthly,dti,credit_util,delinq_12m,credit_history_years,job_stability,recent_hard_inquiry,default
543.3,0.438,0.338,1,6.62,0.668,1,1
1148.3,0.217,0.89,0,6.54,0.112,1,0
918.6,0.391,0.315,0,11.84,0.391,2,0
778.6,0.397,0.093,0,6.72,0.464,3,0
313.8,0.732,0.7,0,1.93,0.574,1,1
313.8,0.585,0.106,0,3.99,0.164,2,0
211.0,0.821,0.113,0,5.75,0.658,1,0
1059.5,0.281,0.678,0,6.96,0.822,1,0
781.2,0.572,0.548,2,9.79,0.469,2,1
893.5,0.599,0.652,0,7.01,0.025,0,0
171.6,0.694,0.258,0,0.78,0.924,2,0
1168.4,0.168,0.173,1,2.17,0.917,0,0
1024.1,0.263,0.734,0,10.27,0.26,1,0
373.0,0.694,0.47,1,5.62,0.617,2,0
340.9,0.784,0.363,1,7.46,0.905,0,0
342.6,0.585,0.744,0,5.07,0.396,3,1
469.5,0.621,0.7,1,3.97,0.698,1,1
701.0,0.446,0.245,1,5.22,0.279,2,0
603.5,0.573,0.462,1,7.53,0.618,0,1
455.8,0.741,0.222,0,6.68,0.476,0,1
792.4,0.387,0.208,1,12.87,0.502,1,0
296.5,0.508,0.284,1,1.56,0.657,0,1
456.8,0.664,0.502,0,1.81,0.523,2,0
534.7,0.465,0.545,3,5.57,0.716,1,0
628.9,0.484,0.133,1,9.87,0.609,1,0
974.4,0.393,0.558,1,11.41,0.136,4,1
359.7,0.671,0.144,0,4.11,0.575,2,0
689.9,0.456,0.682,1,0.24,0.71,1,0
772.0,0.364,0.731,0,4.23,0.705,0,0
198.8,0.437,0.517,1,8.9,0.705,1,0
787.9,0.483,0.32,1,6.59,0.67,2,1
329.1,0.632,0.548,2,10.13,0.395,1,1
218.3,0.868,0.161,0,14.95,0.54,0,0
1146.3,0.263,0.667,0,5.88,0.427,0,0
1163.9,0.16,0.76,0,4.63,0.692,1,1
998.8,0.408,0.592,2,3.06,0.582,2,1
469.8,0.698,0.571,0,1.8,0.743,1,0
252.6,0.676,0.702,0,1.32,0.435,1,1
868.4,0.49,0.512,1,3.77,0.565,1,0
612.2,0.452,0.117,1,13.61,0.442,4,1
278.1,0.701,0.425,1,10.82,0.885,0,0
669.9,0.533,0.472,1,4.45,0.891,1,0
186.1,0.812,0.42,0,25.0,0.163,1,0
1104.8,0.307,0.49,2,4.0,0.303,0,1
421.7,0.575,0.561,0,15.9,0.271,4,1
845.6,0.492,0.186,0,18.42,0.098,0,0
477.3,0.566,0.121,0,9.34,0.779,1,0
696.1,0.406,0.475,0,3.74,0.743,1,0
724.0,0.392,0.445,0,4.95,0.711,2,0
344.1,0.844,0.784,0,7.67,0.627,2,1
1168.1,0.137,0.302,1,1.85,0.61,2,0
963.9,0.449,0.416,1,2.8,0.879,0,0
1136.5,0.115,0.267,3,2.59,0.479,0,1
1089.6,0.302,0.902,1,9.84,0.253,1,1
777.8,0.449,0.665,0,14.86,0.673,1,0
1118.0,0.4,0.419,1,11.11,0.563,3,0
242.9,0.638,0.653,1,13.25,0.206,4,1
355.8,0.55,0.455,0,3.47,0.388,0,0
197.5,0.716,0.24,0,5.14,0.65,3,0
491.6,0.738,0.601,1,5.45,0.914,0,1
558.1,0.447,0.262,0,9.31,0.444,2,1
434.9,0.342,0.572,0,3.87,0.35,2,1
1020.2,0.296,0.513,0,12.7,0.766,2,0
524.6,0.649,0.664,2,18.08,0.39,1,1
445.0,0.495,0.502,0,9.65,0.12,0,0
719.8,0.535,0.36,1,4.95,0.676,1,0
298.0,0.571,0.342,1,3.2,0.588,0,0
992.3,0.29,0.343,0,2.6,0.596,0,0
228.3,0.786,0.273,2,0.8,0.759,1,1
1186.2,0.083,0.26,1,5.59,0.637,3,0
960.9,0.34,0.241,0,5.34,0.607,0,0
358.7,0.763,0.673,0,12.17,0.492,3,0
155.8,0.797,0.673,0,4.09,0.35,3,1
1006.2,0.225,0.509,0,5.84,0.131,2,0
892.2,0.51,0.455,0,8.23,0.654,1,0
915.5,0.412,0.389,0,9.54,0.584,1,0
959.8,0.136,0.466,1,11.23,0.338,0,0
227.7,0.798,0.419,1,7.65,0.176,1,1
526.4,0.496,0.228,1,1.96,0.5,2,1
271.7,0.708,0.77,0,8.95,0.705,2,1
1056.3,0.372,0.561,0,3.84,0.676,0,0
804.5,0.35,0.481,0,15.32,0.294,2,0
497.4,0.404,0.734,0,6.78,0.414,0,0
216.7,0.868,0.339,2,7.99,0.304,0,0
476.5,0.696,0.247,1,25.0,0.191,1,0
491.4,0.563,0.662,0,11.36,0.903,0,1
916.1,0.431,0.913,0,8.84,0.391,0,0
819.4,0.36,0.835,0,5.98,0.778,3,0
1081.6,0.267,0.776,0,2.13,0.384,1,0
645.8,0.475,0.518,0,5.64,0.662,0,0
275.6,0.653,0.758,0,3.17,0.707,3,0
898.9,0.39,0.026,0,19.54,0.574,1,0
948.8,0.207,0.798,2,8.92,0.666,2,1
739.3,0.414,0.295,2,14.95,0.676,2,0
959.5,0.354,0.176,0,3.99,0.722,1,0
668.5,0.661,0.449,0,3.38,0.26,3,0
698.9,0.344,0.332,2,10.61,0.278,1,0
598.9,0.566,0.379,0,3.05,0.961,1,1
176.7,0.802,0.192,1,4.65,0.119,1,0
263.3,0.505,0.527,0,20.15,0.301,0,0
183.0,0.776,0.148,2,4.81,0.622,1,1
818.2,0.485,0.299,2,1.7,0.636,1,1
480.1,0.636,0.238,1,1.08,0.771,0,0
684.0,0.46,0.233,1,1.48,0.686,1,0
1102.9,0.279,0.679,1,15.54,0.808,0,0
411.8,0.631,0.267,0,4.2,0.314,1,1
580.9,0.355,0.217,0,25.0,0.071,1,0
943.3,0.35,0.21,0,18.22,0.793,0,0
390.2,0.588,0.13,1,23.32,0.42,1,0
230.8,0.639,0.205,0,13.48,0.294,0,0
454.2,0.84,0.453,0,10.22,0.821,1,0
319.3,0.788,0.12,0,3.27,0.351,1,0
1126.2,0.119,0.552,0,6.65,0.356,3,0
998.5,0.336,0.351,0,10.95,0.586,2,0
815.1,0.545,0.313,1,12.92,0.718,2,0
1065.0,0.117,0.707,0,2.34,0.55,2,0
993.9,0.312,0.315,0,5.72,0.801,0,0
345.9,0.661,0.182,0,6.25,0.25,5,1
1087.2,0.127,0.446,0,6.06,0.742,0,0
716.3,0.49,0.357,1,2.65,0.822,0,0
997.8,0.414,0.38,0,21.56,0.591,2,1
1090.9,0.403,0.476,0,5.56,0.632,2,0
483.9,0.55,0.212,0,2.84,0.257,1,0
265.6,0.942,0.104,0,21.9,0.961,0,0
389.3,0.42,0.561,2,18.23,0.383,1,1
598.5,0.55,0.077,0,7.42,0.47,0,0
1008.9,0.155,0.425,0,4.54,0.837,2,0
1053.8,0.281,0.48,0,1.36,0.342,1,0
157.3,0.697,0.126,1,9.69,0.559,2,1
686.3,0.518,0.752,0,4.28,0.279,0,0
588.3,0.507,0.455,0,6.53,0.683,2,0
383.2,0.546,0.181,0,20.65,0.82,0,0
275.9,0.61,0.324,2,4.02,0.266,2,1
504.5,0.758,0.558,0,9.39,0.147,1,0
1140.1,0.271,0.12,1,11.46,0.043,1,0
489.4,0.402,0.281,0,15.22,0.352,1,0
694.7,0.518,0.571,0,6.16,0.52,1,1
888.2,0.341,0.758,1,5.67,0.889,0,0
531.8,0.55,0.214,0,5.56,0.594,1,0
1170.4,0.292,0.684,1,8.75,0.59,1,0
1160.6,0.334,0.153,0,17.73,0.755,1,0
414.4,0.526,0.315,0,5.36,0.608,0,0
672.1,0.472,0.604,0,0.35,0.405,0,0
465.9,0.53,0.453,1,12.35,0.384,1,0
449.1,0.653,0.824,0,7.02,0.749,1,0
188.7,0.709,0.356,1,9.7,0.728,1,0
790.0,0.415,0.484,1,1.42,0.194,2,1
677.8,0.445,0.787,0,4.29,0.578,1,0
204.1,0.713,0.129,1,11.67,0.393,4,1
442.6,0.768,0.147,3,2.06,0.811,0,1
1103.7,0.485,0.183,0,9.38,0.261,2,0
401.5,0.657,0.547,1,6.48,0.743,0,0
302.1,0.662,0.319,0,3.55,0.891,0,0
663.9,0.32,0.645,2,3.3,0.404,0,0
1184.9,0.126,0.601,0,2.68,0.485,2,0
404.2,0.605,0.299,0,6.99,0.582,1,0
855.7,0.306,0.254,2,7.62,0.564,0,0
949.7,0.267,0.374,0,4.95,0.178,3,1
399.5,0.778,0.678,1,2.52,0.401,3,1
914.6,0.349,0.491,0,9.18,0.761,1,0
536.2,0.559,0.105,1,12.51,0.507,0,0
813.9,0.332,0.271,1,10.4,0.846,0,0
815.2,0.517,0.903,0,23.94,0.705,0,0
712.6,0.432,0.398,1,5.77,0.421,2,1
244.8,0.65,0.913,2,16.59,0.364,0,1
1027.1,0.128,0.317,0,3.86,0.228,6,1
486.8,0.568,0.194,0,3.33,0.234,1,0
345.8,0.593,0.593,0,7.32,0.504,0,0
192.8,0.899,0.292,0,19.07,0.483,0,1
770.4,0.607,0.29,0,5.27,0.478,2,0
861.4,0.251,0.62,0,1.41,0.717,0,0
167.4,0.631,0.619,1,12.35,0.563,2,1
687.7,0.439,0.582,1,6.27,0.73,1,1
387.8,0.545,0.71,0,8.33,0.559,2,0
827.4,0.414,0.35,1,3.49,0.485,2,1
333.1,0.623,0.532,0,7.27,0.531,0,0
875.5,0.395,0.845,2,1.66,0.386,0,0
556.1,0.638,0.762,0,21.77,0.848,0,0
1133.6,0.123,0.548,1,13.94,0.402,1,0
294.4,0.776,0.476,2,7.02,0.62,0,0
508.1,0.49,0.795,0,12.11,0.375,2,0
269.1,0.904,0.958,0,3.87,0.837,2,1
1120.9,0.399,0.343,1,13.53,0.225,0,0
1071.2,0.252,0.666,1,5.08,0.312,2,0
420.8,0.512,0.587,0,4.79,0.691,1,1
843.0,0.269,0.288,3,2.85,0.563,0,1
1008.1,0.384,0.035,1,9.1,0.389,1,0
733.0,0.44,0.461,1,6.79,0.665,0,1
706.1,0.55,0.224,1,16.94,0.487,4,1
403.9,0.838,0.212,0,2.55,0.417,1,0
247.8,0.624,0.653,1,9.13,0.422,5,1
1092.1,0.129,0.909,0,14.87,0.768,1,0
1095.4,0.269,0.416,0,7.72,0.658,0,0
814.8,0.514,0.62,0,5.0,0.649,2,0
506.0,0.469,0.683,0,7.57,0.538,6,1
516.7,0.561,0.741,0,16.05,0.505,0,0
912.3,0.484,0.818,1,16.04,0.345,2,1
1092.0,0.089,0.246,0,6.08,0.813,2,0
1081.4,0.281,0.806,0,15.86,0.218,2,0
