입국자국가,국가코드,입국연월,입국자 수
미국,275,202201,15570
미국,275,202202,15845
미국,275,202203,16968
미국,275,202204,30882
미국,275,202205,42490
미국,275,202206,55444
미국,275,202207,53942
미국,275,202208,50299
미국,275,202209,60435
미국,275,202210,73560
미국,275,202211,64861
미국,275,202212,63352
미국,275,202301,49120
미국,275,202302,46204
미국,275,202303,86430
미국,275,202304,108818
미국,275,202305,101915
미국,275,202306,121378
미국,275,202307,104823
미국,275,202308,83250
미국,275,202309,96925
미국,275,202310,115763
미국,275,202311,93498
미국,275,202312,78291
