순번,년도,기술분야,특허기술명,등록번호
1,2024,플랫폼/구조-비행체구조-유도무기기체 구조,분리 시스템,10-2622936
2,2024,센서-레이더 센서-전자파 표적신호 측정/분석,차원 분할 3차원 근전계-원전계 레이더 단면적 변환 방법을 이용한 근전계 레이더 단면적 측정 시스템의 수직 스캔 시간 감소 방법,10-2623054
3,2024,소재-내열/단열재료-내열/내삭마 금속재료,근사정형 분말야금 부품 제조방법 및 그 방법으로 제조된 분말야금 부품,10-2623463
4,2024,센서-특수센서-전기장센서 및 신호처리,"다중 막대 기반 코어 전극과, 이를 포함하는 수중 전기장 센서 전극 및 수중 전기장 센서",10-2623468
5,2024,센서-레이더 센서-전자파 표적신호 측정/분석,회전 대칭형 레이돔 제작 결과 간이 선별 장치 및 회전 대칭형 레이돔 제작 결과 간이 선별 방법,10-2624140
6,2024,플랫폼/구조-비행체구조-공력,날개전개 하중 측정 풍동 시험을 위한 시험용 단축형 비행체 모델 설계 방법,10-2623724
7,2024,정보통신-전자전-정보탐지,표적 탐지를 위한 송신원 선정 방법 및 상기 방법을 수행하는 송신원 선정 장치,10-2625148
8,2024,제어/전자-사격제어-사격통제,유압 조절을 이용한 원격 제어식 사격 시험용 총포무장 고정 장치,10-2625666
9,2024,센서-EO/IR 센서-EO/IR 검출/신호 처리,영상 패치 엔트로피를 이용한 적외선 카메라의 영상기반 불균일 보정 장치 및 방법,10-2625840
10,2024,소재-스텔스재료-전파 스텔스재료,원심력을 이용한 폴리카보실란 섬유 방사 장치 및 이를 통한 폴리카보실란 섬유 방사 방법,10-2626484
11,2024,센서-소나 센서-음향 표적신호 측정 및 분석,수중에서 기동하는 표적의 위치를 추정하는 방법 및 장치,10-2626893
12,2024,탄약/에너지-탄두-탄두구조체,분말 제트를 형성하는 선구탄두를 적용한 폭발반응장갑 미기폭식 이중탄두,10-2627761
13,2024,제어/전자-특수 제어/전자-비행체 제어/전자,고주파수 대역의 입력파 및 반사파를 이용한 회로 결함 검출 방법 및 장치,10-2627922
14,2024,소재-스텔스재료-전파 스텔스재료,전자기파 제어 복합재 및 그 제조 방법,10-2628372
15,2024,제어/전자-특수 제어/전자-지상체 제어/전자,가변 관절축을 갖는 보행 보조 로봇,10-2628978
16,2024,추진-로켓추진-고체로켓엔진 추진,추진제 그레인의 나선형 배치를 갖는 부스터,10-2628965
17,2024,센서-EO/IR 센서-EO/IR 영상/표적 처리,경사 촬영 동영상 이동물체 탐지 방법 및 장치,10-2629213
18,2024,기타-기타-기타,접이식 날개 펼침속도 측정치구,10-2630319
