도메인,매칭수,평균격차,중앙값,최소,최대
"감시·정찰, 미사일, 한국형 미사일방어, 지상전력, 해상·상륙전력, 공중･우주전력, 유･무인복합체계, 재난대응, 국방 R&D 역량 강화, 방위산업 육성",1,33.0,33.0,33.0,33.0
공중/항공,1,29.0,29.0,29.0,29.0
기타,9,7.311111111111111,4.6,2.2,28.1
미사일/방공,9,25.311111111111114,26.3,5.2,46.9
우주,17,20.447058823529414,11.6,2.5,62.9
"우주, UAM(Urban Air Mobility)",1,52.5,52.5,52.5,52.5
육상/지상,33,15.257575757575758,8.0,-0.5,62.5
"육상/지상, 해상/해군",2,35.15,35.15,34.3,36.0
전력/에너지,1,3.2,3.2,3.2,3.2
지상,1,7.0,7.0,7.0,7.0
지상/육상,2,23.6,23.6,21.5,25.7
통신/전자,36,8.902777777777779,5.699999999999999,0.2,38.1
항공/공군,76,16.522368421052633,9.9,0.2,83.2
"항공/공군, 미사일/방공",1,22.8,22.8,22.8,22.8
"항공/공군, 통신/전자",1,33.4,33.4,33.4,33.4
"항공/공군, 해상/해군",1,17.7,17.7,17.7,17.7
해상/해군,51,17.458823529411763,8.0,0.0,97.0
