chunk_id,clean_summary
0,"[""[파일: [보도자료] 국방위원회 한미연합군사령부 전시지휘소 현장방문 (1).txt] 보 도 자 료 보도일시 배포 즉시 보도 배포일시 2023. 3. 16. (목) 공보담당관실 02-6788-3655 서기관 김건식 위 원 회 국방위원회 미디어지원관 (02-6788-5305) 국방위원회, 한미연합군사령부 전시지휘소 현장방문 - 위원장 포함 여야 구분 없이 대다수 위원 현장방문에 동참 - 국회 국방위원회(위원장: 한기호) 소속 위원들은 '23 FS(Freedom Shield, 자유의 방패) 연습을 계기로 오늘(3.16.) 한미연합군사령부 전시지휘소를 방문하여 연습 상황을 보고 받고, 훈련에 전념하고 있는 한미 양국 장병들을 격려하였다. 이번 현장방문에는 한기호 국방위원장을 비롯하여 신원식, 성일종, 이헌승, 임병헌, 김병주, 김영배, 설훈, 송옥주, 배진교 의원 등 여야 구분 없이 대다수의 국방위원이 함께 참석하였다. 이날 현장방문에서 폴 라캐머라(Paul Joseph LaCamera) 한미연합군사령관은 ’23 FS 연습의 특징과 진행 상황을 설명하고, 국회 차원의 적극적인 관심과 지원에 감사의 뜻을 전했다. 이에, 한기호 국방위원장은 “굳건히 지켜지고 있는 한미 연합방위태세는 한미동맹의 근간이며, 연합연습에 참가하고 있는 여러분이야말로 한미동맹의 주인공이자 상징이다”라고 강조하였으며, “금일 발사한 북한 미사일 및 북핵에 - 1 - 대한 완벽한 대응대세를 당부”함과 동시에,“우리 국방위원회에서도 지원을 아끼지 않을 것을 약속드린다”고 밝혔다. 이날 참석한 국방위원들은 이전보다 강화된 한미연합연습에 매진하는 한미 연합군에게 감사의 마음을 전하며, 앞으로도 전방위 안보위협에 대한 튼튼한 방위태세를 유지해줄 것을 당부하였다. //끝. 【붙 임】국방위 한미연합군사령부 방문 사진 1, 2, 3 - 2 - [파일: [보도자료] 국방위원회 한미연합군사령부 전시지휘소 현장방문.txt] 보 도 자 료 보도일시 배포 즉시 보도 배포일시 2023. 3. 16. (목) 공보담당관실 02-6788-3655 서기관 김건식 위 원 회 국방위원회 미디어지원관 (02-6788-5305) 국방위원회, 한미연합군사령부 전시지휘소 현장방문 - 위원장 포함 여야 구분 없이 대다수 위원 현장방문에 동참 - 국회 국방위원회(위원장: 한기호) 소속 위원들은 '23 FS(Freedom Shield, 자유의""]"
1,"['방패) 연습을 계기로 오늘(3.16.) 한미연합군사령부 전시지휘소를 방문하여 연습 상황을 보고 받고, 훈련에 전념하고 있는 한미 양국 장병들을 격려하였다. 이번 현장방문에는 한기호 국방위원장을 비롯하여 신원식, 성일종, 이헌승, 임병헌, 김병주, 김영배, 설훈, 송옥주, 배진교 의원 등 여야 구분 없이 대다수의 국방위원이 함께 참석하였다. 이날 현장방문에서 폴 라캐머라(Paul Joseph LaCamera) 한미연합군사령관은 ’23 FS 연습의 특징과 진행 상황을 설명하고, 국회 차원의 적극적인 관심과 지원에 감사의 뜻을 전했다. 이에, 한기호 국방위원장은 “굳건히 지켜지고 있는 한미 연합방위태세는 한미동맹의 근간이며, 연합연습에 참가하고 있는 여러분이야말로 한미동맹의 주인공이자 상징이다”라고 강조하였으며, “금일 발사한 북한 미사일 및 북핵에 - 1 - 대한 완벽한 대응대세를 당부”함과 동시에,“우리 국방위원회에서도 지원을 아끼지 않을 것을 약속드린다”고 밝혔다. 이날 참석한 국방위원들은 이전보다 강화된 한미연합연습에 매진하는 한미 연합군에게 감사의 마음을 전하며, 앞으로도 전방위 안보위협에 대한 튼튼한 방위태세를 유지해줄 것을 당부하였다. //끝. 【붙 임】국방위 한미연합군사령부 방문 사진 1, 2, 3 - 2 - [파일: [보도자료] 국방위원회, 소관 부처의 2020회계연도 결산 의결 (1).txt] 보 도 자 료 보도일시 배포 즉시 보도 배포일시 2021. 9. 8.(수) 공보담당관실 02-6788-3655 담당 서기관 김재환 위원회 국방위원회 입법조사관 (02-6788-5304) 국방위원회, 소관 부처의 2020회계연도 결산 의결 - 국방부의 국유재산 관리 소홀, 5·18민주화운동 보상금 집행 저조 등 논의 - 국회 국방위원회는 9월 8일(수) 오전 11시 전체회의를 열어 국방부, 방위사 업청, 5·18민주화운동 진상규명조사위원회 및 병무청 소관 2020년 결산 승 인의 건을 의결하였다. 국방위원회의 결산 심사 결과 35건의 시정, 26건의 주의, 28건의 제도개선 등 총 89건의 시정요구사항이 채택되었으며, 주요 내용은 다음과 같다. < 국방위원회 2020회계연도 결산 심사 결과 > (단위: 건) 부 처 명 시 정 주 의 제도개선 합 계 국방부 21 10 12 43 방위사업청 14 15 7 36 5․18민주화운동 2 2 진상규명조사위원회 병무청 1 7 8 합계 35 26 28 89 - 1 -']"
2,"['국방부 소관 사업 중 ‘변상금’사업에 대해서는 국방부 소관 국유재산임 에도 국방부 국유재산 대장에서 누락되어 있는 면적이 2,329만㎡에 달한다 고 지적하면서, 누락된 국유재산을 재정비하는 등 국유재산 관리를 철저히 하도록 하는 등 시정 21건, 주의 10건, 제도개선 12건 등 총 43건의 시정요 구사항을 전제로 하여 정부 원안대로 의결하였다. 방위사업청 소관 사업과 관련하여서는 국외 개조 업체와 국내 항공기 제 작사와의 하도급 계약 체결 간 협상 장기화로 사업이 지연되고 있는‘항공 기항재밍GPS체계’사업에 대해 유사 사업 추진 시 동일한 문제가 발생하지 않도록 관련 근거 및 절차를 보완하여 국회에 보고하도록 하는 등 시정 14 건, 주의 15건, 제도개선 7건 등 총 36건의 시정요구사항을 전제로 정부 원 안대로 의결하였다. 또한, 5·18민주화운동 진상규명조사위원회 소관 사업 중 집행률이 저조한 ‘보상금’사업에 대해서는 집행 가능한 수준으로 보상금 예산을 편성하고, 보상금을 적극적으로 집행할 수 있는 방안을 마련하도록 하는 등 제도개선 2건의 시정요구사항을 전제로 하여 정부 원안대로 의결하였다. 한편, 병무청 소관 사업 중 ‘대체역심사’ 사업과 관련하여서는 대체역 심사 사무국의 우수조사관을 시상함에 있어 업무추진비로 기프트카드를 구 입하여 시상하는 것은 예산집행지침에 부합하지 않는 예산집행에 해당한다 는 지적과 함께 주의 1건, 제도개선 7건 등 총 8건의 시정요구사항을 전제 로 정부 원안대로 의결하였다. 민홍철 국회 국방위원장은 “결산심사는 전년도 예산의 집행결과를 분석․ 검토하여 당해 연도 예산과 차년도 예산안심의에 적용함으로써 재정의 효율 - 2 - 성을 높일 수 있는 과정이라는 점에서 철저한 심사가 필요하다.”고 말했다. 오늘 의결된 2020회계연도 결산 심사 결과는 향후 국정감사 및 예산심사에 활용될 예정이다. - 3 - [파일: [보도자료] 국방위원회, 소관 부처의 2020회계연도 결산 의결.txt] 보 도 자 료 보도일시 배포 즉시 보도 배포일시 2021. 9. 8.(수) 공보담당관실 02-6788-3655 담당 서기관 김재환 위원회 국방위원회 입법조사관 (02-6788-5304) 국방위원회, 소관 부처의 2020회계연도 결산 의결 - 국방부의 국유재산 관리 소홀, 5·18민주화운동 보상금 집행 저조 등 논의 - 국회 국방위원회는 9월 8일(수) 오전 11시 전체회의를 열어 국방부, 방위사']"
3,"['', '업청, 5·18민주화운동 진상규명조사위원회 및 병무청 소관 2020년 결산 승 인의 건을 의결하였다. 국방위원회의 결산 심사 결과 35건의 시정, 26건의 주의, 28건의 제도개선 등 총 89건의 시정요구사항이 채택되었으며, 주요 내용은 다음과 같다. < 국방위원회 2020회계연도 결산 심사 결과 > (단위: 건) 부 처 명 시 정 주 의 제도개선 합 계 국방부 21 10 12 43 방위사업청 14 15 7 36 5․18민주화운동 2 2 진상규명조사위원회 병무청 1 7 8 합계 35 26 28 89 - 1 - 국방부 소관 사업 중 ‘변상금’사업에 대해서는 국방부 소관 국유재산임 에도 국방부 국유재산 대장에서 누락되어 있는 면적이 2,329만㎡에 달한다 고 지적하면서, 누락된 국유재산을 재정비하는 등 국유재산 관리를 철저히 하도록 하는 등 시정 21건, 주의 10건, 제도개선 12건 등 총 43건의 시정요 구사항을 전제로 하여 정부 원안대로 의결하였다. 방위사업청 소관 사업과 관련하여서는 국외 개조 업체와 국내 항공기 제 작사와의 하도급 계약 체결 간 협상 장기화로 사업이 지연되고 있는‘항공 기항재밍GPS체계’사업에 대해 유사 사업 추진 시 동일한 문제가 발생하지 않도록 관련 근거 및 절차를 보완하여 국회에 보고하도록 하는 등 시정 14 건, 주의 15건, 제도개선 7건 등 총 36건의 시정요구사항을 전제로 정부 원 안대로 의결하였다. 또한, 5·18민주화운동 진상규명조사위원회 소관 사업 중 집행률이 저조한 ‘보상금’사업에 대해서는 집행 가능한 수준으로 보상금 예산을 편성하고, 보상금을 적극적으로 집행할 수 있는 방안을 마련하도록 하는 등 제도개선 2건의 시정요구사항을 전제로 하여 정부 원안대로 의결하였다. 한편, 병무청 소관 사업 중 ‘대체역심사’ 사업과 관련하여서는 대체역 심사 사무국의 우수조사관을 시상함에 있어 업무추진비로 기프트카드를 구 입하여 시상하는 것은 예산집행지침에 부합하지 않는 예산집행에 해당한다 는 지적과 함께 주의 1건, 제도개선 7건 등 총 8건의 시정요구사항을 전제 로 정부 원안대로 의결하였다. 민홍철 국회 국방위원장은 “결산심사는 전년도 예산의 집행결과를 분석․ 검토하여 당해 연도 예산과 차년도 예산안심의에 적용함으로써 재정의 효율 - 2 - 성을 높일 수 있는 과정이라는 점에서 철저한 심사가 필요하다.”고 말했다. 오늘 의결된 2020회계연도 결산 심사 결과는 향후 국정감사 및 예산심사에']"
4,"['활용될 예정이다. - 3 - [파일: [보도자료] 국회 국방위 대표단, K-방산 세일즈 외교 성공적으로 마치고 귀국 (1).txt] 보 도 자 료 보도일시 배포 즉시 보도 배포일시 2022. 11. 14.(월) 공보담당관실 02-6788-3655 서기관 유재민 위 원 회 국방위원회 미디어지원관 (02-6788-5303) 국회 국방위 대표단, K-방산 세일즈 외교 성공적으로 마치고 귀국 - 노르웨이 주력전차 사업과 루마니아 군 현대화사업 참여 논의 - - 부산EXPO 유치 지원 노력 병행 - 국회 국방위원회 이헌승 위원장과 여·야 간사(신원식·김병주 의원), 방위사업청 관계자(조현기 기동사업부장)들로 구성된 대표단은 K-방산의 유럽진출을 보다 확대하기 위하여 11월6일부터 11월 12일까지 노르웨이와 루마니아를 공식 방문하였다. 국방위 대표단은 이번 유럽 방문을 통하여 對노르웨이 K2 전차 수출 지원 및 방산협력을 위한 국회차원의 방산외교 추진과 루마니아 등 동유럽권 신규 방산시장 개척 및 부산EXPO 유치 지원을 위해 노력하였다. 대표단은 노르웨이에서 콩스버그 국방·항공우주 회장(에이릭 리에)과 의회 산업위원회 부위원장(콜모옌) 및 외교국방위원회 부위원장(아우크루스트) 등 주요 인사와의 면담을 개최하였고, - 1 - 면담 과정에서 현재 최종 우선협상 대상자 선정을 남겨두고 있는 노르웨이 주력전차 사업에 대한 논의와 K2 전차의 우수성을 홍보하고, 노르웨이 전차 사업에 한국의 K2전차가 선정될 경우 한국의 방산업체와 노르웨이 방산업체 간 산업협력 등 보다 긴밀한 상생의(Win-Win) 방산협력 가능성이 있음을 강조하였다. 또한, 대한민국 이태원의 할로윈 축제 현장에서 발생한 사고로 노르웨이 유학생이 희생된 것에 대해서는 마음 깊이 위로의 말을 전하였다. 김필우 주 노르웨이 대사는 이번 대표단의 방문에 대해 “지금은 노르웨이 주력전차사업 우선협상자 선정 최종 과정에 있는데, 이번 대표단의 방문은 노르웨이 측에 강력한 메시지를 전달하는 효과가 있다”고 전했다. 한편, 루마니아에서는 하원의장(이온-마르첼 치올라쿠), 상ㆍ하원 국방위원장 (니콜레타 파울리우크, 라우렌치우 단 레어레아누), 국방부 장관(안젤 틀버르), 경제부 장관(플로린 마리안 스퍼타루) 등 의회 및 정부 주요 인사와의 면담 등을 통해 루마니아 방산시장 진출에 대한 관심 및 지원을 당부하였다.']"
5,"['최근 동유럽 지역의 급격한 안보상황 변화에 따른 루마니아 군 현대화사업 가속화로 한국 업체의 루마니아 방산시장 진출이 기대되는 만큼, 국방위원회 대표단은 한국의 루마니아 군 현대화사업 참여의지를 전달하고, 한국 무기 체계의 우수한 성능, 경쟁력 있는 가격, NATO 표준 규격 적용 및 연합훈련 가능 등의 강점을 홍보하고, 기술협력ㆍ공동연구개발ㆍ산업협력 등을 통한 방산협력 방안까지 제안했다. - 2 - 특히 루마니아는 지난 8월 김진표 국회의장이 방문하여 방산 분야의 협력 강화를 위한 세일즈 외교를 진행하였다는 점에서, 이번 국방위 대표단의 방문은 국회의장에 이어 K-방산의 동유럽진출을 위한 확실한 교두보를 마련한 것으로 평가할 수 있다. 임갑수 루마니아 대사도 이번 국방위 대표단의 방문은 한국-루마니아 수교 이래 대한민국 국회 국방위원장 최초의 방문이자, 3박 4일의 기간동안 차기 총리로 내정되어 있는 하원의장을 포함한 루마니아 상하원의원 총 22명과 현직 장관 2명을 면담하는 등 한-루마니아의 관계 발전을 위한 새로운 이정표를 세웠다고 전했다. 한편, 국방위원회 대표단은 노르웨이·루마니아 주요 인사와의 면담에서 ‘2030 부산세계박람회’는 친환경적이고 혁신적인 인류 공동의 미래를 구상하기 위한 범국가적인 프로젝트라고 소개하며, ‘2030 세계박람회’ 개최 추진 도시로서 부산의 경쟁력과 미래비전을 설명하였고, 부산이 세계박람회 개최의 최적의 도시라는 점도 강조하였다. 이헌승 국방위원장은 “최근 폴란드 방산수출 등으로 활성화된 對유럽 방산협력이 K2전차의 노르웨이 진출을 통해 한층 확대되는 계기가 될 수 있을 것”이라며, “지난 8월 김진표 국회의장의 루마니아 방문과 이에 화답한 루마니아 국방장관의 방한 등으로 양국간 방산협력의 분위기가 고조되고 있으며, 최근 루마니아는 한국과 폴란드간 진행되고 있는 방산협력 모델을 벤치마킹하여 도입할 것을 검토하고 있기에 폴란드로부터 시작된 방산수출이 유럽 시장 전체로까지 확대되는 계기가 될 것으로 기대한다.”라고 밝혔다.//끝. - 3 - 【붙 임】 국방위 대표단 K 방산 세일즈 외교 성공적으로 마치고 귀국 사진 1, 2, 3, 4 - 4 - [파일: [보도자료] 국회 국방위 대표단, K-방산 세일즈 외교 성공적으로 마치고 귀국.txt] 보 도 자 료 보도일시 배포 즉시 보도 배포일시 2022. 11. 14.(월) 공보담당관실 02-6788-3655 서기관 유재민']"
6,"['위 원 회 국방위원회 미디어지원관 (02-6788-5303) 국회 국방위 대표단, K-방산 세일즈 외교 성공적으로 마치고 귀국 - 노르웨이 주력전차 사업과 루마니아 군 현대화사업 참여 논의 - - 부산EXPO 유치 지원 노력 병행 - 국회 국방위원회 이헌승 위원장과 여·야 간사(신원식·김병주 의원), 방위사업청 관계자(조현기 기동사업부장)들로 구성된 대표단은 K-방산의 유럽진출을 보다 확대하기 위하여 11월6일부터 11월 12일까지 노르웨이와 루마니아를 공식 방문하였다. 국방위 대표단은 이번 유럽 방문을 통하여 對노르웨이 K2 전차 수출 지원 및 방산협력을 위한 국회차원의 방산외교 추진과 루마니아 등 동유럽권 신규 방산시장 개척 및 부산EXPO 유치 지원을 위해 노력하였다. 대표단은 노르웨이에서 콩스버그 국방·항공우주 회장(에이릭 리에)과 의회 산업위원회 부위원장(콜모옌) 및 외교국방위원회 부위원장(아우크루스트) 등 주요 인사와의 면담을 개최하였고, - 1 - 면담 과정에서 현재 최종 우선협상 대상자 선정을 남겨두고 있는 노르웨이 주력전차 사업에 대한 논의와 K2 전차의 우수성을 홍보하고, 노르웨이 전차 사업에 한국의 K2전차가 선정될 경우 한국의 방산업체와 노르웨이 방산업체 간 산업협력 등 보다 긴밀한 상생의(Win-Win) 방산협력 가능성이 있음을 강조하였다. 또한, 대한민국 이태원의 할로윈 축제 현장에서 발생한 사고로 노르웨이 유학생이 희생된 것에 대해서는 마음 깊이 위로의 말을 전하였다. 김필우 주 노르웨이 대사는 이번 대표단의 방문에 대해 “지금은 노르웨이 주력전차사업 우선협상자 선정 최종 과정에 있는데, 이번 대표단의 방문은 노르웨이 측에 강력한 메시지를 전달하는 효과가 있다”고 전했다. 한편, 루마니아에서는 하원의장(이온-마르첼 치올라쿠), 상ㆍ하원 국방위원장 (니콜레타 파울리우크, 라우렌치우 단 레어레아누), 국방부 장관(안젤 틀버르), 경제부 장관(플로린 마리안 스퍼타루) 등 의회 및 정부 주요 인사와의 면담 등을 통해 루마니아 방산시장 진출에 대한 관심 및 지원을 당부하였다. 최근 동유럽 지역의 급격한 안보상황 변화에 따른 루마니아 군 현대화사업 가속화로 한국 업체의 루마니아 방산시장 진출이 기대되는 만큼, 국방위원회 대표단은 한국의 루마니아 군 현대화사업 참여의지를 전달하고, 한국 무기 체계의 우수한 성능, 경쟁력 있는 가격, NATO 표준 규격 적용 및 연합훈련']"
7,"[""가능 등의 강점을 홍보하고, 기술협력ㆍ공동연구개발ㆍ산업협력 등을 통한 방산협력 방안까지 제안했다. - 2 - 특히 루마니아는 지난 8월 김진표 국회의장이 방문하여 방산 분야의 협력 강화를 위한 세일즈 외교를 진행하였다는 점에서, 이번 국방위 대표단의 방문은 국회의장에 이어 K-방산의 동유럽진출을 위한 확실한 교두보를 마련한 것으로 평가할 수 있다. 임갑수 루마니아 대사도 이번 국방위 대표단의 방문은 한국-루마니아 수교 이래 대한민국 국회 국방위원장 최초의 방문이자, 3박 4일의 기간동안 차기 총리로 내정되어 있는 하원의장을 포함한 루마니아 상하원의원 총 22명과 현직 장관 2명을 면담하는 등 한-루마니아의 관계 발전을 위한 새로운 이정표를 세웠다고 전했다. 한편, 국방위원회 대표단은 노르웨이·루마니아 주요 인사와의 면담에서 ‘2030 부산세계박람회’는 친환경적이고 혁신적인 인류 공동의 미래를 구상하기 위한 범국가적인 프로젝트라고 소개하며, ‘2030 세계박람회’ 개최 추진 도시로서 부산의 경쟁력과 미래비전을 설명하였고, 부산이 세계박람회 개최의 최적의 도시라는 점도 강조하였다. 이헌승 국방위원장은 “최근 폴란드 방산수출 등으로 활성화된 對유럽 방산협력이 K2전차의 노르웨이 진출을 통해 한층 확대되는 계기가 될 수 있을 것”이라며, “지난 8월 김진표 국회의장의 루마니아 방문과 이에 화답한 루마니아 국방장관의 방한 등으로 양국간 방산협력의 분위기가 고조되고 있으며, 최근 루마니아는 한국과 폴란드간 진행되고 있는 방산협력 모델을 벤치마킹하여 도입할 것을 검토하고 있기에 폴란드로부터 시작된 방산수출이 유럽 시장 전체로까지 확대되는 계기가 될 것으로 기대한다.”라고 밝혔다.//끝. - 3 - 【붙 임】 국방위 대표단 K 방산 세일즈 외교 성공적으로 마치고 귀국 사진 1, 2, 3, 4 - 4 - [파일: [보도자료] 국회 국방위 병역법 개정관련 국민 여론조사 실시 (1).txt] 보 도 자 료 보도일시 배포 즉시 보도 배포일시 2022. 9. 18.(일) 공보담당관실 02-6788-3655 유재민 서기관 미디어지원관 (02-6788-5305) 위 원 회 국방위원회 담당 신세민 사무관 입법조사관 (02-6788-5310) 국회 국방위, 병역법 개정관련 '국민 여론조사' 실시 - 국위선양 대중문화예술인 대체복무 전환여부 국민 의견 수렴 -""]"
8,"['- 이헌승 위원장, “조속한 시일 내에 관련 문제가 정리될 수 있도록 최선을 다할 것” - 국회 국방위원회(위원장 이헌승)는 BTS를 비롯한 대중문화예술인을 예술·체육요원으로 편입하는 병역법 개정안 심사와 관련하여, 지난 14~15일 양일간 ‘국위선양 대중문화예술인의 대체복무 전환 동의 여부’에 관해 국민 여론조사를 실시한 결과 ‘찬성’이 60.9%, ‘반대’가 34.3%를 기록 했다고 밝혔다. 또한, 대체복무 전환에 반대하는 응답자들 중에서도 군에 입대하되, 공익을 위한 공연 등은 할 수 있도록 보장해 주는 방안에 대하여는 ‘찬성’이 58.7%, ‘반대’가 37.7%로 나타났다. 이번 여론조사는 ㈜리얼미터를 통해 전국에 거주하는 만 18세 이상 성인 남녀 1,018명을 대상으로 구조화된 설문지를 이용한 전화 면접 조사(CATI)로 진행되었다. 본 조사에 참여한 남성은 49.6%(505명), 여성은 50.4%(513명)이고, - 1 - 연령별로는 만 18세 이상을 기준으로 29세 이하 17.1%, 30대 14.9%, 40대 18.4%, 50대 19.4%, 60세 이상 30.2%로 전 연령층이 조사에 참여했다. 표본오차 ±3.07%포인트(95% 신뢰수준), 응답률 21.0%다. 현행 병역법은 국제예술경연대회 2위, 국내예술경연대회 1위 등으로 문화 창달과 국위선양에 기여한 예술·체육분야 특기자에 대해서 군복무 대신 34개월간 예술·체육요원으로 대체복무 하도록 하고 있다. 이와 관련하여, 현재 국방위원회에는 예술·체육요원 편입대상에 BTS 등 대중문화예술인을 포함하는 내용을 골자로 하는 병역법 개정안 3건(윤상현, 성일종, 안민석의원 대표발의)이 계류되어 있다. 이번 여론조사는 앞서 언급된 병역법 개정안 심사와 관련하여, 지난 8월 31일 국방위원회 전체회의에서 여·야 위원들이 위원회 차원의 여론조사 실시를 제안함으로써, 국방위원회 차원에서 국민들의 의견을 수렴하고 국회의 입법정책에 참고하기 위하여 3개의 여론조사 대표 업체 견적과 조사 수행 가능 여부를 비교 및 선정하여 진행되었다. 이헌승 국방위원장은 이번 조사를 통해 병역문제에 대한 국민적 관심을 확인할 수 있었다며, 병역의 공정성 및 형평성과 국가적 이익을 모두 고려하여 빠른 시일 내에 관련 논의가 마무리 될 수 있도록 위원장으로서 최선을 다하겠다고 밝혔다. //끝. - 2 - [파일: [보도자료] 국회 국방위 병역법 개정관련 국민 여론조사 실시.txt]']"
9,"[""보 도 자 료 보도일시 배포 즉시 보도 배포일시 2022. 9. 18.(일) 공보담당관실 02-6788-3655 유재민 서기관 미디어지원관 (02-6788-5305) 위 원 회 국방위원회 담당 신세민 사무관 입법조사관 (02-6788-5310) 국회 국방위, 병역법 개정관련 '국민 여론조사' 실시 - 국위선양 대중문화예술인 대체복무 전환여부 국민 의견 수렴 - - 이헌승 위원장, “조속한 시일 내에 관련 문제가 정리될 수 있도록 최선을 다할 것” - 국회 국방위원회(위원장 이헌승)는 BTS를 비롯한 대중문화예술인을 예술·체육요원으로 편입하는 병역법 개정안 심사와 관련하여, 지난 14~15일 양일간 ‘국위선양 대중문화예술인의 대체복무 전환 동의 여부’에 관해 국민 여론조사를 실시한 결과 ‘찬성’이 60.9%, ‘반대’가 34.3%를 기록 했다고 밝혔다. 또한, 대체복무 전환에 반대하는 응답자들 중에서도 군에 입대하되, 공익을 위한 공연 등은 할 수 있도록 보장해 주는 방안에 대하여는 ‘찬성’이 58.7%, ‘반대’가 37.7%로 나타났다. 이번 여론조사는 ㈜리얼미터를 통해 전국에 거주하는 만 18세 이상 성인 남녀 1,018명을 대상으로 구조화된 설문지를 이용한 전화 면접 조사(CATI)로 진행되었다. 본 조사에 참여한 남성은 49.6%(505명), 여성은 50.4%(513명)이고, - 1 - 연령별로는 만 18세 이상을 기준으로 29세 이하 17.1%, 30대 14.9%, 40대 18.4%, 50대 19.4%, 60세 이상 30.2%로 전 연령층이 조사에 참여했다. 표본오차 ±3.07%포인트(95% 신뢰수준), 응답률 21.0%다. 현행 병역법은 국제예술경연대회 2위, 국내예술경연대회 1위 등으로 문화 창달과 국위선양에 기여한 예술·체육분야 특기자에 대해서 군복무 대신 34개월간 예술·체육요원으로 대체복무 하도록 하고 있다. 이와 관련하여, 현재 국방위원회에는 예술·체육요원 편입대상에 BTS 등 대중문화예술인을 포함하는 내용을 골자로 하는 병역법 개정안 3건(윤상현, 성일종, 안민석의원 대표발의)이 계류되어 있다. 이번 여론조사는 앞서 언급된 병역법 개정안 심사와 관련하여, 지난 8월 31일 국방위원회 전체회의에서 여·야 위원들이 위원회 차원의 여론조사 실시를 제안함으로써, 국방위원회 차원에서 국민들의 의견을 수렴하고 국회의 입법정책에 참고하기 위하여 3개의 여론조사 대표 업체 견적과""]"
