student_id,classroom,score_raw
20260110,B,78.2
20260162,C,82.3
20260124,C,76.1
20260225,B,68.4
20260087,A,80.3
20260055,A,91.1
20260220,A,61.9
20260032,C,89.1
20260178,B,57.9
20260135,C,79.6
20260093,A,65.6
20260008,C,76.2
20260065,C,84.4
20260057,A,81.0
20260247,A,80.5
20260067,A,81.5
20260216,A,71.2
20260215,B,61.9
20260187,B,81.7
20260072,A,70.9
20260054,B,N/A
20260249,A,결시
20260239,A,66.1
20260229,B,63.2
20260067,B,60.1
20260051,C,88.9
20260097,A,"1,002"
20260092,B,-5
20260239,B,64.3
20260008,A,82.1
20260162,B,52.6
20260035,A,97.0
20260096,A,75.5
20260088,C,75.9
20260078,C,89.7
20260032,C,69.0
20260120,A,77.2
20260046,A,N/A
20260235,B,69.8
20260144,B,58.0
20260196,A,"1,002"
20260244,B,66.5
20260165,A,75.4
20260182,C,78.8
20260213,A,84.3
20260142,B,88.4
20260223,A,67.3
20260055,B,74.8
20260176,B,78.3
20260210,A,85.1
20260007,C,결시
20260074,C,999
20260007,C,87.3
20260161,C,78.6
20260151,B,70.3
20260085,C,82.6
20260147,A,80.1
20260112,A,"1,002"
20260125,A,79.7
20260147,A,81.9
20260036,B,80.5
20260029,A,79.5
20260188,C,87.6
20260082,B,60.3
20260002,A,81.6
20260129,B,62.8
20260047,A,70.0점
20260197,C,81.1
20260148,A,64.2
20260011,C,N/A
20260234,C,65.7
20260130,A,83.1
20260195,A,83.2
20260215,C,80.8
20260119,C,"1,002"
20260140,C,N/A
20260020,C,86.9
20260005,A,84.5
20260037,B,84.2
20260166,A,85.6
20260222,C,86.1
20260137,B,86.2
20260226,A,73.1
20260053,A,78.8
20260172,A,100.0
20260099,A,59.3
20260244,C,89.7
20260086,B,미응시
20260108,C,85.6
20260024,B,77.5
20260081,A,78.6
20260202,C,76.4
20260158,C,91.5
20260120,B,76.2
20260059,C,84.6
20260238,B,56.5
20260215,B, 74 
20260128,B,85.3
20260224,A,99.4
20260209,A,84.3
20260114,A,57.7
20260115,B,71.4
20260209,A,71.4
20260014,B,70.8
20260009,C,90.8
20260040,A,76.9
20260194,B,67.0
20260237,C,96.2
20260025,A,66.0
20260103,A,74.7
20260201,A,73.3
20260246,A,71.5
20260022,C,68.0
20260235,C,97.5
20260238,B,55.8
20260004,C,83.5
20260154,C,N/A
20260186,A,88.3
20260029,C,100.0
20260109,B,70.9
20260098,C,85.0
20260215,C,90.5
20260037,A,82.4
20260075,A,85.7
20260070,A,68.7
20260146,B,미응시
20260128,C,999
20260085,C,96.1
20260042,A,75.5
20260100,B,78.0
20260041,B,74.4
20260166,A,63.7
20260034,A,88점
20260017,A,70.0점
20260165,C,미응시
20260153,A,63.6
20260230,B,58.2
20260122,C,80.2
20260076,B,63.6
20260087,C,69.1
20260117,C,91.4
20260106,A,72.0
20260086,B,63.4
20260213,A,74.1
20260027,A,79.1
20260057,A,84.6
20260031,B,61.6
20260134,B,72.6
20260219,A,99.3
20260168,A,58.5
20260098,C,59.7
20260012,A,83.9
20260237,A,결시
20260249,B,63.1
20260053,C,100.0
20260199,A,73.1
20260138,B,51.8
20260173,C,74.0
20260145,A,999
20260154,C,84.5
20260213,B,76.9
20260220,B,73.7
20260190,B,100.0
20260122,B,83.4
20260046,A,69.7
20260064,C,79.1
20260130,A, 74 
20260054,A,84.1
20260107,A,77.8
20260193,B,52.9
20260051,B,62.2
20260181,A,72.1
20260036,B,90.2
20260115,A,76.0
20260026,B,69.9
20260029,A,89.0
20260149,B,70.9
20260011,B,59.7
20260040,C,71.3
20260011,A,"1,002"
20260076,B,63.6
20260120,A,77.2
20260193,B,52.9
20260213,A,74.1
20260128,C,999
20260017,A,70.0점
20260209,A,71.4
20260096,A,75.5
