area_m2,floor,distance_m,age_years,rooms,maintenance_10k,parking,elevator,district,rent_10k
61.0,14,358,9.7,3,11.3,0,1,0,95.0
75.9,7,649,13.6,4,16.0,1,0,3,111.6
47.3,6,587,5.9,3,14.6,0,1,3,81.2
33.1,9,959,5.5,2,11.1,0,1,2,68.4
32.3,15,278,1.1,2,9.2,1,1,2,83.0
67.5,7,466,15.1,4,13.6,1,0,4,117.7
72.3,23,858,16.4,4,11.9,0,1,0,95.0
23.3,12,179,13.9,1,10.0,0,0,3,48.9
20.6,22,1033,19.7,1,12.5,0,1,1,28.0
57.0,18,968,12.7,3,15.0,0,1,0,72.7
26.1,9,796,15.1,1,7.6,1,1,2,39.9
72.9,6,951,14.4,4,19.2,1,0,4,112.8
37.4,19,441,11.3,2,14.7,1,1,3,70.8
25.9,9,1590,7.8,1,6.6,0,0,3,31.1
79.5,7,1452,29.7,4,16.3,1,0,3,106.1
27.4,24,808,8.4,2,12.8,0,1,3,63.5
35.6,13,690,6.7,2,12.0,1,0,2,77.0
26.6,2,1090,15.5,1,6.5,0,1,0,26.0
24.0,13,362,14.0,1,13.1,1,1,4,64.9
17.5,12,969,0.8,1,6.1,1,1,2,47.5
19.8,22,801,21.0,1,9.9,1,1,2,39.5
28.1,18,480,11.2,2,11.7,0,1,1,59.6
19.7,5,822,3.1,1,6.9,0,0,0,35.1
56.8,4,1558,21.5,3,13.8,1,0,4,88.3
63.0,16,160,17.0,3,16.7,0,1,3,102.8
43.2,2,283,1.9,2,14.2,1,0,3,80.8
37.9,8,518,26.2,2,14.8,1,1,2,53.7
50.8,4,961,17.3,3,16.8,1,1,4,85.9
76.4,1,788,11.9,4,19.0,1,1,2,111.0
74.7,23,958,24.7,4,18.2,1,1,2,102.2
19.0,3,484,13.3,1,8.5,0,0,2,38.2
28.5,1,650,11.8,2,10.9,1,1,1,61.3
32.3,24,1245,6.7,2,9.2,0,1,0,45.2
33.2,5,730,16.7,2,7.5,0,0,2,51.9
55.4,21,881,15.8,3,14.0,1,1,4,92.6
44.7,1,633,12.1,2,9.4,0,0,0,53.9
19.4,4,416,5.7,1,9.7,0,0,4,47.0
41.8,3,996,13.0,2,15.5,1,0,4,78.6
52.1,18,1193,11.4,3,11.3,0,0,1,68.6
23.0,16,681,1.3,1,12.1,0,1,3,61.6
73.5,12,325,0.2,4,16.3,1,0,0,112.6
19.6,7,914,16.5,1,10.4,1,1,3,39.3
79.8,3,854,0.0,4,17.9,1,0,3,116.6
22.8,15,546,13.6,1,8.6,0,1,1,41.8
74.2,6,2500,8.2,4,17.0,0,1,0,100.3
78.3,15,1583,22.5,4,19.6,1,1,4,121.0
83.6,18,840,8.1,5,15.8,1,1,2,146.4
71.3,22,858,17.3,4,18.0,1,1,4,130.3
69.8,13,1568,8.8,4,19.8,1,1,3,110.6
60.3,1,1309,12.9,3,14.2,1,0,3,86.9
69.8,8,607,17.9,4,16.7,0,1,3,110.7
25.3,22,864,8.3,1,9.7,0,1,0,34.7
53.0,14,599,20.0,3,9.6,0,0,1,80.0
51.5,16,261,4.1,3,14.0,0,1,2,96.3
75.2,12,169,14.4,4,13.4,0,1,2,118.6
47.9,5,742,19.4,3,11.3,1,1,0,73.8
42.6,23,1552,17.3,2,14.9,1,1,2,78.6
60.1,20,568,27.3,3,14.6,1,1,0,83.4
34.4,25,662,5.9,2,12.1,1,1,3,74.8
25.6,22,468,1.0,1,12.4,1,1,3,75.7
49.0,8,177,4.0,3,13.7,1,0,4,108.8
44.8,7,517,17.3,2,12.9,0,1,3,70.3
32.0,7,637,16.0,2,11.1,1,0,1,52.5
41.4,23,719,12.8,2,11.8,0,1,4,79.8
41.3,14,1381,3.0,2,10.7,0,0,2,65.9
38.6,12,887,18.1,2,10.4,0,1,1,46.1
42.2,25,1394,2.2,2,10.3,0,1,4,70.4
63.3,16,957,21.3,4,13.2,1,1,1,88.0
36.5,23,901,34.9,2,12.9,0,1,0,36.6
81.5,25,1011,14.9,5,18.4,1,1,2,123.0
79.2,2,343,16.7,4,13.4,0,0,3,118.5
49.2,10,1101,8.1,3,8.6,1,0,0,69.6
38.7,19,519,0.0,2,12.3,1,1,2,80.4
52.9,21,531,7.2,3,14.9,0,1,0,75.0
74.6,4,670,3.3,4,15.9,1,0,3,116.3
61.0,8,485,0.4,3,17.6,1,1,2,109.2
71.5,14,291,25.8,4,16.5,1,1,1,110.7
52.8,20,635,14.2,3,14.5,1,1,1,81.3
59.7,3,533,15.0,3,11.5,1,0,2,89.8
35.9,16,520,9.5,2,13.3,1,0,3,85.8
66.7,8,590,10.6,4,15.3,1,0,4,115.4
30.0,6,106,19.7,2,11.8,1,0,2,56.6
63.9,13,522,11.7,4,11.7,1,0,0,93.8
75.4,11,1507,16.2,4,18.5,1,1,4,119.7
25.1,16,1431,10.4,1,10.9,1,0,3,46.4
58.4,8,650,9.3,3,14.0,1,0,3,95.3
22.6,21,635,0.7,1,10.1,1,1,0,38.9
66.1,2,88,0.0,4,13.5,1,0,1,107.2
21.8,22,421,9.9,1,10.0,1,1,3,56.2
80.6,1,1004,12.5,4,20.5,1,0,4,122.9
25.5,19,476,1.7,1,11.8,0,1,2,52.2
82.2,9,1234,11.7,5,17.6,1,1,4,133.4
71.3,10,1185,12.4,4,17.7,0,1,4,114.6
57.0,1,415,0.0,3,11.6,1,0,1,97.4
70.0,18,685,4.7,4,15.4,1,1,4,125.8
70.9,5,1584,15.3,4,16.5,1,0,1,98.2
81.3,17,199,15.1,5,14.0,1,1,1,125.7
33.5,19,484,2.8,2,13.2,0,1,3,76.8
56.7,22,183,13.3,3,14.9,1,1,3,107.7
22.6,18,324,20.2,1,8.0,0,1,0,41.3
58.5,8,1885,18.2,3,16.9,1,1,4,98.2
27.8,19,484,11.2,2,11.1,1,1,0,58.8
55.0,21,126,8.3,3,14.2,1,1,4,112.7
55.5,8,289,7.0,3,12.5,0,0,0,83.4
48.2,4,168,15.7,3,13.3,1,0,3,95.4
52.1,23,703,13.6,3,11.5,0,1,3,83.8
68.7,4,843,17.0,4,15.2,1,0,3,100.5
71.1,15,1111,13.1,4,19.5,1,1,3,115.6
50.0,6,969,18.6,3,14.7,0,0,2,74.0
57.4,4,206,12.8,3,14.5,0,0,3,88.4
80.3,20,814,18.3,4,14.8,1,1,1,113.0
24.3,4,572,19.0,1,11.1,1,0,3,45.1
24.1,17,1217,5.6,1,11.3,0,1,2,31.2
22.1,18,1042,0.0,1,11.9,1,1,2,51.4
61.4,2,2043,24.3,3,15.5,1,0,2,75.9
44.9,5,307,14.1,2,12.7,1,0,2,72.7
69.4,20,274,0.0,4,13.7,1,0,0,121.4
62.3,13,440,6.3,3,13.1,1,1,0,87.5
39.0,4,588,18.2,2,7.4,1,0,1,50.9
78.0,25,379,9.8,4,15.7,0,1,0,96.7
68.6,7,319,7.9,4,16.5,1,1,2,112.9
34.7,1,778,23.2,2,11.5,0,0,3,49.3
41.1,24,439,3.6,2,10.0,0,1,3,76.8
37.7,1,367,5.6,2,12.4,1,0,2,77.0
26.9,14,206,13.7,1,15.0,0,1,4,70.6
26.2,25,93,15.1,1,10.2,0,1,2,57.4
80.6,15,1460,16.0,4,15.1,1,0,0,100.0
46.2,15,1432,19.3,3,13.4,1,0,3,81.2
42.4,10,1063,13.6,2,16.7,1,1,2,69.8
66.3,4,904,15.9,4,13.4,1,0,3,96.6
54.2,15,410,9.9,3,14.8,1,1,2,84.2
80.6,23,928,12.5,4,15.1,0,1,2,113.4
69.8,3,259,12.9,4,12.9,1,0,0,106.7
49.1,23,673,13.7,3,12.7,0,1,2,96.7
42.0,11,344,18.2,2,15.0,0,1,3,73.7
84.1,14,931,16.4,5,20.6,1,1,1,118.9
65.5,5,1653,12.4,4,16.0,1,0,3,92.1
81.6,16,288,5.5,5,14.8,0,1,0,128.3
24.2,5,425,12.5,1,13.5,1,0,1,32.6
74.7,7,665,11.8,4,14.9,1,0,2,114.7
60.0,19,138,13.5,3,15.3,1,1,4,120.0
24.4,2,174,29.7,1,4.8,0,0,1,33.8
56.6,12,1622,7.8,3,15.4,1,0,1,80.1
63.3,15,781,15.4,4,17.2,1,1,2,107.3
16.8,4,393,20.5,1,14.3,1,0,4,48.5
47.3,8,616,12.8,3,12.3,1,1,4,87.6
73.0,9,441,30.7,4,16.9,1,0,0,106.8
36.4,17,678,9.0,2,10.8,0,1,1,58.6
47.6,25,454,14.6,3,15.3,0,1,4,98.9
46.5,21,583,5.6,3,9.3,1,1,0,64.2
36.8,5,987,9.2,2,15.0,1,0,4,80.9
79.4,1,945,14.0,4,17.0,1,0,1,116.7
69.9,2,1564,18.8,4,16.2,1,0,4,106.3
23.6,15,819,14.6,1,9.1,0,0,1,38.0
84.8,4,644,22.1,5,15.5,1,0,2,124.1
76.7,6,1714,11.2,4,15.5,1,0,3,106.2
35.6,22,540,9.3,2,10.1,1,1,0,66.3
73.7,22,100,33.6,4,13.4,1,1,2,108.1
23.3,21,1072,15.2,1,12.3,1,1,2,42.3
84.9,7,754,6.2,5,20.8,1,1,3,145.6
61.9,16,623,6.4,3,13.1,0,0,4,109.8
60.9,16,1091,4.5,3,16.4,1,1,3,98.3
22.2,5,457,19.5,1,7.9,0,0,2,30.8
77.9,14,103,9.1,4,16.8,0,1,2,121.4
18.0,14,1105,13.0,1,6.7,0,0,2,35.7
32.6,10,383,11.5,2,9.2,0,0,4,61.6
25.9,19,297,17.9,1,11.3,0,1,1,48.1
69.6,17,107,5.2,4,13.7,1,0,0,117.4
29.7,14,1045,3.4,2,14.5,1,1,1,59.5
78.8,19,77,13.8,4,16.2,1,1,0,128.5
