avg_delivery_min,avg_order_value,review_cnt,ad_spend,store_category,discount_rate,monthly_revenue
27.6,24778,75,1604390,Pizza,15.2,5420362
44.2,20924,94,278974,Chicken,,2656345
35.3,26991,85,155616,Pizza,17.5,3332158
32.2,8410,108,59546,Cafe,10.0,1638453
33.9,17233,63,111035,Korean,,2218473
37.2,12262,73,375611,Dessert,5.3,2409270
41.2,29241,57,471123,Pizza,,3399324
25.0,21649,77,391566,Pizza,,3526738
24.6,19925,60,224898,Korean,19.0,2661554
46.0,17267,79,43946,Chicken,22.0,2377910
30.9,22543,83,177190,Chicken,12.2,3546663
20.8,15938,78,44450,Dessert,,2272532
39.4,10222,125,36507,Cafe,,1553153
39.6,25427,69,145303,Pizza,18.6,2510870
19.7,20599,80,182373,Chicken,,3181668
37.3,18078,59,247199,Korean,,2104015
42.4,8370,117,178609,Cafe,,1677090
38.7,16035,72,183600,Korean,5.3,2256980
41.3,24275,73,54586,Pizza,14.8,2615640
21.0,9496,102,110334,Cafe,4.1,1763882
38.3,23082,58,35938,Pizza,14.6,2343411
32.0,19984,98,24162,Chicken,,3428766
30.2,8599,75,217024,Dessert,9.0,2333666
43.7,12977,79,65693,Dessert,6.2,1798768
49.8,26363,84,241167,Pizza,,2926369
52.9,18579,73,291246,Korean,6.2,2260496
48.1,24413,116,73115,Chicken,,3497750
33.9,18220,42,192432,Korean,,2075941
38.5,18980,57,70709,Korean,,1956895
42.7,9760,118,27407,Cafe,22.0,1404822
36.2,24771,74,132441,Pizza,7.7,3060440
36.3,10673,84,82335,Dessert,,1391260
43.2,27535,109,84388,Chicken,,3252453
34.4,20870,83,582755,Chicken,,3338806
27.7,20335,94,35403,Chicken,,3059358
30.9,19085,63,163006,Korean,,2708599
41.3,18630,64,54144,Korean,,1857747
35.0,18488,83,248167,Chicken,15.3,3447926
38.4,20807,56,152359,Korean,14.5,2234613
41.7,8765,109,162547,Cafe,,1177985
31.3,19223,80,56350,Chicken,,2520655
42.6,27972,59,65041,Pizza,,2530889
38.8,10564,132,251965,Cafe,,1787804
22.7,18839,104,494788,Chicken,15.4,3846775
49.4,29443,67,176221,Pizza,16.0,3260976
30.0,26647,54,58531,Pizza,,3763831
18.4,21975,94,157377,Chicken,14.8,3843981
24.5,25976,96,836703,Chicken,,5208318
24.8,9398,99,130247,Cafe,,1842813
35.5,17930,62,386435,Korean,,2323201
32.3,16349,49,66369,Korean,,1851125
31.6,19455,56,116027,Korean,,2237116
41.2,26192,93,196988,Pizza,,3348323
38.4,9037,117,164902,Cafe,6.3,1359081
38.2,7025,116,65000,Cafe,,1031905
39.1,25325,61,62795,Pizza,,2778995
41.2,21826,95,264574,Chicken,12.3,2902462
15.0,5666,106,311292,Cafe,,1921985
31.4,14320,60,402303,Korean,,2539129
15.0,19413,54,508079,Korean,9.6,3113114
35.4,5000,99,133645,Cafe,,1053620
35.0,22514,74,93553,Chicken,,2916633
45.5,7805,123,353642,Cafe,,1449046
46.9,28271,65,212289,Pizza,,2904495
37.0,7766,116,54682,Cafe,,1538604
30.0,10649,106,52488,Cafe,,1291000
39.9,8008,93,177867,Cafe,,1075275
29.7,22284,108,104133,Chicken,6.9,3349485
35.0,19842,63,117489,Korean,13.6,2288000
44.9,20844,88,283020,Chicken,,2968705
29.4,20491,45,220241,Korean,,2701620
43.1,19516,75,347717,Chicken,12.3,2760613
41.8,25736,75,25592,Pizza,12.4,2845445
25.5,20307,62,146967,Korean,,2882537
44.7,19650,66,209190,Korean,,1979888
42.0,26791,85,35383,Chicken,,3270436
36.0,20091,100,71064,Chicken,,2943199
27.4,5552,116,61259,Cafe,,1138622
26.4,6514,120,122101,Cafe,,1513446
29.6,26651,62,441322,Pizza,13.9,3446419
40.4,10245,109,605203,Cafe,,1899352
25.4,22256,76,62556,Chicken,7.6,2998693
39.4,22193,57,182863,Pizza,,2549233
22.6,19917,55,187641,Korean,6.9,2464588
33.0,14938,56,163627,Korean,,1999811
36.1,20897,61,165120,Korean,,2514424
59.5,32144,65,153007,Pizza,13.1,2615136
21.2,22916,91,462917,Chicken,,3941472
49.7,19458,59,289879,Korean,11.9,2490745
36.5,7768,112,51386,Cafe,4.7,1336709
39.1,13474,60,226800,Korean,,1493993
36.2,7493,120,245032,Cafe,6.4,1807202
39.4,19268,84,154387,Chicken,,2479079
33.5,18382,67,296673,Chicken,,3252011
49.5,26306,96,139484,Chicken,5.2,2788635
30.4,9682,109,140874,Cafe,,1169143
46.3,22949,82,132222,Chicken,,2929648
28.6,17227,62,23877,Korean,,2487214
34.4,17568,65,112525,Korean,20.3,2633952
24.3,14411,89,70308,Dessert,,2213092
39.6,11919,81,46448,Dessert,9.3,1797819
49.5,10327,94,377929,Cafe,,1073888
34.2,17510,48,179623,Korean,,2456505
33.0,11145,84,117170,Dessert,,1511865
23.9,21483,68,76375,Pizza,27.0,2999471
32.7,5000,108,152083,Cafe,9.8,1452348
19.1,21346,96,265241,Chicken,,3932009
25.9,18141,60,61925,Korean,11.1,2903472
